"1";"ХК Мотор"
"2";"ХК Крепость"
"3";"ХК Сибайс"
"4";"ХК Романтик"
"5";"ХК Фортуна"
"6";"ХК Кристалл"
"7";"ХК Легион-2"
"8";"ХК SNEG"
"9";"ХК Кофеман"
"10";"ХК Драйв-PRO"
"11";"ХК Левый Берег"
"12";"ХК Мотор-2"
"15";"ХК Гвардия-2"
"17";"ХК Искра"
"18";"ХК Айсберг"
"19";"ХК Ледокол"
"20";"ХК Снежинка"
"21";"ХК Строитель"
"22";"ХК Чайка"
"23";"ХК Йети"
"24";"ХК Легион"
"25";"ХК Молния"
"26";"ХК Общее Дело"
"27";"ХК Реактор"
"28";"ХК Академпарк"
"29";"ХК Арсенал"
"30";"ХК Братина"
"31";"ХК Вымпел"
"32";"ХК Дизель"
"33";"ХК Дружина"
"34";"ХК Клеверс"
"35";"ХК Колос"
"36";"ХК Колывань"
"37";"ХК Кречет"
"38";"ХК Лабиринт"
"39";"ХК Локомотив РЖД"
"40";"ХК Магистраль"
"41";"ХК Мамонты"
"42";"ХК Метеор"
"43";"ХК Нефтяник"
"44";"ХК Пионер"
"45";"ХК Сибирские медведи"
"46";"ХК Титаны"
"47";"ХК Черная Жемчужина"
"48";"ХК Гвардия"
"49";"ХК Кристалл Обьгэс"
"50";"ХК SP"
"51";"ХК Проспект"
"52";"ХК Сибайс 2"
"53";"ХК Драйв"
"54";"ХК Снег-2"
"56";"ХК Победа"
"57";"ЖХК Айсберг"
"58";"ХК Колорадо"
"59";"ВХК Стяг-Юг"
"60";"ХК АО СИБЭКО"
"61";"ХК СКА"
"62";"ХК Сибирские Коты"
"63";"ХК HC87"
"64";"ХК HC87-2"
"65";"ХК Ударник"
"66";"ХК Скиф"
"67";"ХК Свирепые Ежи"
"68";"ХК Академик"
"69";"ХК Лицей"
"70";"ХК Сибирские Медведи"
"71";"ХК Энергия 2007"
"72";"ХК Сибирь 2010"
"73";"ХК СКА 2010"
"74";"ХК Шахтер 2010"
"75";"ХК Кристалл 2010"
"76";"ХК Молния 2010"
"77";"ХК Ястреб 2010"
"78";"ХК Металлург Ильинка 2010"
"79";"ХК Звезда 2010"
"80";"ХК Энергия 2010"
"81";"ХК Металлург Новокузнецк 2010"
"82";"ХК Лигры 2010"
"83";"ХК Смена 2010"
"84";"ХК Кристалл 2007"
"85";"ХК Вымпел 2004"
"86";"ХК Алтай 2007"
"87";"ХК Динамо 2007"
"88";"ХК Астана 2004"
"89";"ХК Ермак 2008"
"90";"ХК Динамо 2008"
"91";"ХК Энергия 2008"
"92";"ХК Айсберг 2008"
"93";"ХК Штурм 2008"
"94";"ХК Сокол 2007"
"95";"ХК Олимпия 2009"
"96";"ХК Сокол 2009"
"97";"ХК Олимпия-НСК 2009"
"98";"ХК Энергия 2009"
"99";"ХК Алтай 2009"
"100";"ХК Сибирь 2009"
"101";"ХК Сибиряк 2009"
"102";"ХК Филин 2009"
"103";"ХК Энергия 2004"
"104";"ХК Восток"
"105";"ХК Левый Берег 2"
"106";"ХК Айсберг 2004"
"107";"ХК Буревестник 2004"
"108";"ХК OMEGA"
"109";"ХК Петровский"
"110";"ХК Сибкарт"
"111";"ХК Хоккей Новосибирска им.Д.В.Затонского"
"112";"ХК Звезда ЦЗВС 2007"
"113";"ХК Локомотив 2007"
"114";"ХК Кожевникова 2007"
"115";"ХК Исток 2010"
"116";"ХК Ирбис 2010"
"117";"ХК Церковь Прославления"
"118";"ХК ПрогрессСтройГруп"
"119";"ХК Ночной Металлург"
"120";"ХК Алтай 2010"
"121";"ХК Алтай-2 2010"
"122";"ХК Лигры-2 2010"
"123";"ХК Астана 2009"
"124";"ХК Астана-2 2009"
"125";"ХК Лигры 2009"
"126";"ХК Смена 2009"
"127";"ХК Торпедо 2009"
"128";"ХК Темп"
"129";"ХК СГК"
"130";"ХК СГК-2"
"131";"ХК Иволга"
"132";"ХК Буллит"
"133";"ХК Агора"
"134";"ВХК Молочная Сказка"
"135";"ВХК Кубометр"
"136";"ВХК Машиностроитель"
"137";"ВХК ЮКОС"
"138";"ХК Стяг"
"139";"ХК Олимпия 2008"
"140";"ХК Торпедо 2008"
"141";"ХК Смена 2007"
"142";"ХК Локомотив 2008"
"143";"ХК Звезда ЦЗВС 2008"
"144";"ХК Астана 2010"
"145";"ХК Кожевникова 2010"
"146";"ХК Кубометр"
"147";"ХК ПереварЪ"
"148";"ХК Локомотив-СГУПС"
"149";"ХК ЦСКА-Сибирь"
"150";"ХК Энергия"
"151";"ХК Сибирь 2006"
"152";"ХК Металлург Новокузнецк 2006"
"153";"ХК Ермак 2006"
"154";"ХК Динамо 2006"
"155";"ХК Энергия 2006"
"156";"ХК Штурм 2006"
"157";"ХК Смена 2006"
