ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
57614,564,63,1433.0,,0-00
57615,564,65,1534.0,,0-00
57634,565,58,1170.0,,0-00
57699,565,59,217.0,,0-00
57749,552,93,1959.0,,0-00
57775,552,89,2003.0,,0-00
57798,553,90,1947.0,,0-00
57799,553,90,1945.0,1947.0,50-00
57819,553,92,2056.0,,0-00
57820,553,92,2062.0,2056.0,53-00
57845,551,90,1945.0,,0-00
57864,551,91,2025.0,,0-00
56907,548,91,2025.0,,0-00
56946,548,89,2003.0,,0-00
56974,549,90,1947.0,,0-00
56998,549,93,1959.0,,0-00
57394,547,92,2062.0,,0-00
57396,547,93,1959.0,,0-00
57493,550,91,2025.0,,0-00
57874,550,92,2056.0,,0-00
56304,575,75,1870.0,,0-00
56373,574,73,1960.0,,0-00
56374,574,79,1838.0,,0-00
56442,576,77,1754.0,,0-00
56443,576,80,1981.0,,0-00
56458,575,83,1887.0,,0-00
56569,577,81,1673.0,,0-00
56577,577,74,1620.0,,0-00
56578,577,74,1621.0,1620.0,23-40
56590,578,76,1741.0,,0-00
56591,578,82,1872.0,,0-00
56624,578,82,1873.0,1872.0,41-25
56646,579,72,1716.0,,0-00
56647,579,78,1641.0,,0-00
56667,557,4,997.0,,0-00
56692,557,49,913.0,,0-00
56815,579,72,1715.0,1716.0,55-00
57872,579,78,1642.0,1641.0,40-00
58752,577,81,1674.0,1673.0,29-00
55796,568,73,1960.0,,0-00
55797,568,75,1870.0,,0-00
55841,569,79,1838.0,,0-00
55843,569,83,1887.0,,0-00
56056,570,74,1621.0,,0-00
56057,570,77,1754.0,,0-00
56096,572,76,1741.0,,0-00
56108,572,72,1716.0,,0-00
56109,571,81,1673.0,,0-00
56110,571,80,1981.0,,0-00
56131,573,82,1872.0,,0-00
57873,573,78,1642.0,,0-00
57900,571,80,1982.0,1981.0,26-34
57901,571,80,1981.0,1982.0,40-00
58753,571,81,1675.0,1673.0,56-00
