ID,ID game,ID player,ID team,total time on ice,throws by,a shot on target,accurate transmission,blocked throws
421,850,3058.0,138,,,,,
422,850,3055.0,138,,,,,
423,850,1558.0,138,,,,,
424,850,1278.0,138,,,,,
425,6353,7222.0,63,,,,,
426,6353,6423.0,63,,,,,
427,6353,2328.0,63,,,,,
428,6353,7538.0,63,,,,,
429,6353,2222.0,63,,,,,
430,6353,4249.0,63,,,,,
431,6353,4321.0,63,,,,,
432,6353,5821.0,63,,,,,
433,6353,6266.0,63,,,,,
434,6353,5203.0,63,,,,,
435,6353,7199.0,63,,,,,
436,6353,2322.0,63,,,,,
437,6353,5794.0,63,,,,,
438,6353,6327.0,63,,,,,
439,6353,2319.0,63,,,,,
440,6353,5793.0,63,,,,,
441,6353,5695.0,27,,,,,
442,6353,5873.0,27,,,,,
443,6353,7127.0,27,1273.0,,,,
444,6353,4251.0,27,907.0,,,,
445,6353,2329.0,27,744.0,,,,
446,6353,4250.0,27,1360.0,,,,
447,6353,6434.0,27,740.0,,,,
448,6353,6090.0,27,1015.0,,,,
449,6353,6085.0,27,865.0,2.0,1.0,,1.0
450,6353,6091.0,27,1122.0,5.0,3.0,,
451,6353,4555.0,27,1162.0,5.0,1.0,,1.0
452,6353,1531.0,27,945.0,4.0,3.0,,
453,6353,4558.0,27,954.0,1.0,,,1.0
454,6353,7547.0,27,1006.0,4.0,3.0,,
455,6353,2325.0,27,1043.0,1.0,3.0,,1.0
456,6358,3428.0,138,,,,,
457,6358,5162.0,138,,,,,
458,6358,1301.0,138,,,,,
459,6358,3060.0,138,,,,,
460,6358,1297.0,138,,,,,
461,6358,1560.0,138,,,,,
462,6358,7474.0,138,,,,,
463,6358,1066.0,138,,,,,
464,6358,6512.0,138,,,,,
465,6358,6508.0,138,,,,,
466,6358,6513.0,138,,,,,
467,6358,288.0,138,,,,,
468,6358,5276.0,138,,,,,
469,6358,1026.0,138,,,,,
470,6358,6213.0,138,,,,,
471,6358,6514.0,138,,,,,
472,6358,4256.0,38,,,,,
473,6358,495.0,38,1531.0,,,,
474,6358,4604.0,38,1432.0,,,,
475,6358,13.0,38,1118.0,,,,
476,6358,6479.0,38,1326.0,2.0,2.0,,
477,6358,231.0,38,1288.0,,2.0,,
478,6358,6210.0,38,1163.0,,,,1.0
479,6358,4601.0,38,1198.0,,2.0,,
480,6358,4596.0,38,1128.0,1.0,2.0,,
481,6358,4605.0,38,1268.0,,4.0,,
482,6358,25.0,38,1257.0,1.0,3.0,,
483,700,2438.0,109,,,,,
484,700,2455.0,109,179.0,,,,
485,700,2445.0,109,179.0,,,,
486,700,2443.0,109,,,,,
487,700,2441.0,109,,,,,
488,700,2439.0,109,179.0,,,,
489,700,549.0,109,179.0,,,,
490,700,545.0,109,179.0,,,,
491,700,2454.0,109,179.0,,,,
492,700,2450.0,109,,,,,
493,700,2440.0,109,,,,,
494,700,2451.0,109,,,,,
495,700,1908.0,20,,,,,
496,700,1907.0,20,,,,,
497,700,1928.0,20,,,,,
498,700,1918.0,20,,,,,
499,700,427.0,20,,,,,
500,700,127.0,20,,,,,
501,700,1915.0,20,,,,,
502,700,1924.0,20,,,,,
503,700,1922.0,20,,,,,
504,700,1909.0,20,,,,,
505,700,1913.0,20,,,,,
506,700,1912.0,20,,,,,
507,700,1917.0,20,,,,,
508,700,1910.0,20,,,,,
509,700,1919.0,20,,,,,
510,700,1911.0,20,,,,,
511,700,137.0,20,,,,,
512,700,1920.0,20,,,,,
513,700,1916.0,20,,,,,
514,100,31.0,32,,,,,
515,100,374.0,32,,,,,
516,100,714.0,32,,,,,
517,100,721.0,32,,,,,
518,100,385.0,32,,,,,
519,100,715.0,32,,,,,
520,100,387.0,32,,,,,
521,100,487.0,32,,,,,
522,100,380.0,32,,,,,
523,100,367.0,32,,,,,
524,100,67.0,1,,,,,
525,100,571.0,1,,,,,
526,100,66.0,1,,,,,
527,100,1100.0,1,,,,,
528,100,1099.0,1,,,,,
529,100,79.0,1,,,,,
530,100,295.0,1,,,,,
531,100,843.0,1,,,,,
532,100,1.0,1,,,,,
533,100,840.0,1,,,,,
534,100,886.0,1,,,,,
535,100,300.0,1,,,,,
536,100,294.0,1,,,,,
537,101,997.0,4,,,,,
538,101,1000.0,4,,,,,
539,101,1001.0,4,,,,,
540,101,1008.0,4,,,,,
541,101,1010.0,4,,,,,
542,101,1012.0,4,,,,,
543,101,501.0,4,161.0,,,1.0,
544,101,1005.0,4,161.0,2.0,,,
545,101,1004.0,4,161.0,,2.0,,
546,101,1003.0,4,160.0,,1.0,,1.0
547,101,492.0,4,161.0,,1.0,2.0,
548,101,1006.0,4,40.0,,1.0,1.0,
549,101,1007.0,4,,,,,
550,101,280.0,4,,,,,
551,101,1009.0,4,,,,,
552,101,786.0,6,,,,,
553,101,803.0,6,,,,,
554,101,140.0,6,,,,,
555,101,778.0,6,,,,,
556,101,905.0,6,,,,,
557,101,903.0,6,,,,,
558,101,790.0,6,,,,,
559,101,800.0,6,,,,,
560,101,794.0,6,,,,,
561,101,900.0,6,,,,,
562,101,802.0,6,,,,,
563,101,798.0,6,,,,,
564,101,782.0,6,,,,,
565,6556,938.0,239,,,,,
566,6556,5192.0,239,,,,,
567,6556,456.0,239,,,,,
568,6556,207.0,239,,,,,
569,6556,2474.0,239,,,,,
570,6556,883.0,239,,,,,
571,6556,4632.0,239,,,,,
572,6556,4634.0,239,,,,,
573,6556,7154.0,239,,,,,
574,6556,4633.0,239,,,,,
575,6556,4631.0,239,,,,,
576,6556,6216.0,239,,,,,
577,6556,7208.0,35,,,,,
578,6556,1304.0,35,1158.0,4.0,2.0,,
579,6556,755.0,35,1026.0,2.0,3.0,,2.0
580,6556,3452.0,35,487.0,,,,
581,6556,4541.0,35,464.0,,,,1.0
582,6556,765.0,35,791.0,3.0,,,
583,6556,759.0,35,915.0,1.0,,,1.0
584,6556,3449.0,35,964.0,1.0,1.0,,2.0
585,6556,990.0,35,847.0,2.0,4.0,,
586,6556,763.0,35,448.0,,,,
587,6556,988.0,35,1048.0,2.0,3.0,,1.0
588,6556,1576.0,35,1095.0,,1.0,,
589,6556,3456.0,35,1127.0,3.0,2.0,,
590,6556,4329.0,35,481.0,1.0,2.0,,1.0
591,6556,378.0,35,1065.0,4.0,4.0,,
592,6556,366.0,35,831.0,1.0,1.0,,
593,6557,995.0,31,,,,,
594,6557,524.0,31,,,,,
595,6557,696.0,31,,,,,
596,6557,2894.0,31,,,,,
597,6557,693.0,31,,,,,
598,6557,1373.0,31,,,,,
599,6557,187.0,31,,,,,
600,6557,2897.0,31,,,,,
601,6557,1116.0,31,,,,,
602,6557,2895.0,31,,,,,
603,6557,281.0,31,,,,,
604,6557,1575.0,31,,,,,
605,6557,4489.0,31,,,,,
606,6557,182.0,31,,,,,
607,6557,4485.0,31,,,,,
608,6557,188.0,209,,,,,
609,6557,5245.0,209,1173.0,1.0,1.0,,1.0
610,6557,2209.0,209,1285.0,,2.0,,
611,6557,910.0,209,1119.0,2.0,2.0,,
612,6557,5244.0,209,805.0,,,,1.0
613,6557,648.0,209,876.0,,4.0,,
614,6557,4546.0,209,434.0,,,,1.0
615,6557,2300.0,209,543.0,,1.0,,
616,6557,4548.0,209,850.0,3.0,8.0,,
617,6557,6891.0,209,907.0,1.0,3.0,,
618,6557,82.0,209,563.0,,1.0,,
619,6557,7213.0,209,537.0,,1.0,,1.0
620,6557,6487.0,209,949.0,,1.0,,
621,6557,4389.0,209,988.0,2.0,4.0,,1.0
622,6557,22.0,209,829.0,1.0,4.0,,
623,103,18.0,9,,,,,
624,103,828.0,9,,,,,
625,103,189.0,9,,,,,
626,103,181.0,9,,,,,
627,103,544.0,9,,,,,
628,103,624.0,9,,,,,
629,103,177.0,9,,,,,
630,103,186.0,9,,,,,
631,103,139.0,9,,,,,
632,103,860.0,9,,,,,
633,103,482.0,9,,,,,
634,103,174.0,9,,,,,
635,103,116.0,11,,,,,
636,103,818.0,11,,,,,
637,103,816.0,11,118.0,,,,1.0
638,103,815.0,11,118.0,,,,
639,103,118.0,11,,,,,
640,103,821.0,11,,,,,
641,103,121.0,11,120.0,,,,
642,103,822.0,11,119.0,,,,
643,103,214.0,11,119.0,,1.0,,
644,103,813.0,11,,,,,
645,103,115.0,11,,,,,
646,6737,995.0,31,,,,,
647,6737,697.0,31,25.0,,,,
648,6737,696.0,31,26.0,,,,
649,6737,2894.0,31,35.0,,,,
650,6737,693.0,31,33.0,,,,
651,6737,187.0,31,59.0,,,,
652,6737,2897.0,31,60.0,,,,
653,6737,1116.0,31,58.0,,1.0,,
654,6737,2895.0,31,,,,,
655,6737,281.0,31,,,,,
656,6737,1575.0,31,,,,,
657,6737,4489.0,31,,,,,
658,6737,4485.0,31,,,,,
659,6737,222.0,35,,,,,
660,6737,1304.0,35,,,,,
661,6737,990.0,35,,,,,
662,6737,755.0,35,,,,,
663,6737,4329.0,35,,,,,
664,6737,4541.0,35,,,,,
665,6737,765.0,35,,,,,
666,6737,3449.0,35,,,,,
