ID player,skill,amplua
6503,1.0,10.0
6504,1.0,10.0
7623,,10.0
9983,,10.0
7556,,9.0
5762,11.0,9.0
5685,,8.0
9400,,10.0
10342,,10.0
10816,,9.0
5151,,10.0
2598,,10.0
582,,10.0
2642,,9.0
4759,,9.0
3938,,10.0
8910,,10.0
484,,10.0
9398,,9.0
8248,8.0,10.0
7506,,10.0
2313,,9.0
617,,8.0
3615,8.0,10.0
7273,,9.0
6558,,10.0
1210,,10.0
127,,9.0
2891,7.0,10.0
5066,6.0,8.0
5789,,9.0
6527,,10.0
7830,,9.0
7988,,10.0
7989,,10.0
8211,8.0,10.0
9311,,9.0
9830,,
11366,,
11080,,10.0
598,,9.0
5002,8.0,10.0
2336,,9.0
2565,,10.0
5185,8.0,9.0
4241,,10.0
4153,8.0,10.0
9598,,10.0
11200,,10.0
3137,11.0,10.0
5243,8.0,10.0
7839,,9.0
2088,,10.0
2956,8.0,10.0
6910,,9.0
6084,,10.0
1311,,8.0
10182,,10.0
11780,,9.0
2029,11.0,10.0
2332,,9.0
8898,,9.0
1775,,9.0
7763,,10.0
222,,8.0
5751,6.0,8.0
2077,,9.0
5692,,10.0
8796,,10.0
1041,,9.0
1640,8.0,8.0
2939,,9.0
4761,,10.0
8881,,10.0
10715,,9.0
6947,,9.0
223,,10.0
1310,,9.0
3755,8.0,10.0
7892,,10.0
3520,8.0,9.0
4342,4.0,10.0
4343,,10.0
4805,8.0,9.0
8426,,10.0
2687,,8.0
9328,,9.0
1765,,9.0
8638,,10.0
3393,8.0,10.0
322,,10.0
29,,10.0
7588,,8.0
2716,,9.0
6799,,8.0
2543,8.0,10.0
5477,,
4290,,10.0
11444,,10.0
2588,,8.0
6381,10.0,10.0
11668,,9.0
3202,8.0,9.0
3011,,10.0
9628,,9.0
148,,10.0
472,,10.0
5600,,10.0
1788,,10.0
4085,8.0,10.0
10285,,10.0
2756,,10.0
2710,,10.0
10053,,9.0
485,,10.0
541,,9.0
2720,,9.0
149,,10.0
3778,6.0,10.0
7002,,9.0
7668,,
8048,,8.0
8377,,10.0
9511,,10.0
10693,,10.0
10793,,9.0
6506,8.0,10.0
4087,8.0,10.0
11096,,10.0
3944,,10.0
4794,8.0,10.0
8691,,9.0
3465,,9.0
6260,3.0,10.0
8042,,10.0
8611,,10.0
3233,8.0,10.0
4795,,8.0
6464,10.0,
7513,,9.0
11042,,10.0
11633,,9.0
11149,,10.0
11662,,10.0
11527,,
1628,,9.0
4012,8.0,8.0
11252,,
521,,10.0
1856,8.0,10.0
8962,,10.0
11812,1.0,9.0
5580,,10.0
2683,,10.0
7001,,9.0
4564,,10.0
753,,9.0
2434,,9.0
2106,8.0,10.0
2248,,8.0
2519,,9.0
3138,11.0,10.0
4925,,10.0
6054,,9.0
7612,,10.0
7829,,9.0
8634,,8.0
3161,6.0,10.0
8255,8.0,9.0
1027,,10.0
3311,,10.0
3639,8.0,10.0
5992,8.0,10.0
6100,8.0,9.0
6989,,10.0
7271,,9.0
8452,,10.0
8610,,10.0
9366,,10.0
10607,,8.0
11163,,9.0
11518,,9.0
8013,,9.0
9049,,10.0
323,,9.0
9363,,10.0
1085,,10.0
7311,8.0,10.0
11243,,
8713,,10.0
4774,8.0,9.0
2600,8.0,10.0
618,,9.0
4013,8.0,10.0
10123,,10.0
4775,8.0,9.0
9823,,
2107,8.0,10.0
2957,8.0,10.0
809,,10.0
1638,,9.0
7916,,9.0
3280,,9.0
7312,8.0,9.0
7432,8.0,9.0
7634,,9.0
3464,4.0,9.0
5813,,9.0
6357,10.0,
9778,,9.0
9629,,10.0
10638,,9.0
668,,8.0
4524,,8.0
224,,10.0
6596,,10.0
3897,,10.0
473,,9.0
444,,9.0
669,,9.0
2940,,10.0
2791,,10.0
3121,,9.0
7407,8.0,8.0
4267,,10.0
11105,,10.0
225,,10.0
1019,,9.0
7762,,10.0
619,,9.0
2484,,10.0
3186,,9.0
3281,,8.0
7532,8.0,10.0
522,,10.0
6055,6.0,8.0
7433,8.0,10.0
5746,,8.0
1813,,10.0
1951,8.0,9.0
2034,,10.0
3159,,10.0
3160,,10.0
4268,,10.0
4278,,9.0
4411,,9.0
4474,,10.0
5874,8.0,10.0
6978,,9.0
9071,,10.0
9072,,10.0
9073,,10.0
11007,,10.0
11173,,9.0
11769,,9.0
2643,,10.0
7186,,9.0
11024,,10.0
6053,,10.0
11768,,8.0
8746,,10.0
10191,6.0,9.0
11433,,9.0
775,,8.0
2139,8.0,9.0
4940,8.0,10.0
6785,,9.0
11639,,10.0
7715,,9.0
5058,8.0,9.0
2599,,10.0
10527,,9.0
1514,2.0,10.0
5125,,10.0
7726,,10.0
9866,11.0,8.0
5322,,10.0
2758,,10.0
7096,,10.0
365,,8.0
670,,9.0
2051,,10.0
4484,,10.0
6547,,10.0
6589,,9.0
6939,,10.0
7036,,10.0
7310,8.0,10.0
7366,8.0,8.0
7814,,10.0
9693,,9.0
10576,,10.0
