ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
853197,10124,494,10,0,0-00
853198,10124,92,2478,0,0-00
870816,10164,526,9216,0,0-00
870817,10164,537,9084,0,0-00
873898,10167,559,9997,0,0-00
873899,10167,563,10021,0,0-00
873900,10166,560,9961,0,0-00
873901,10166,562,9947,0,0-00
850019,10168,523,9176,0,0-00
850020,10168,520,10040,0,0-00
850237,10076,109,4410,0,0-00
850238,10076,496,1060,0,0-00
850465,10144,446,9673,0,0-00
850466,10144,404,5090,0,0-00
850875,10133,329,71,0,0-00
850876,10133,23,5509,0,0-00
850928,10123,92,2478,0,0-00
850929,10123,494,10,0,0-00
851032,10120,15,7519,0,0-00
851033,10120,35,1376,0,0-00
851101,10143,400,8040,0,0-00
851102,10143,500,217,0,0-00
851208,10135,22,7157,0,0-00
851209,10135,498,3717,0,0-00
851290,10125,333,6599,0,0-00
851291,10125,452,7821,0,0-00
851306,10135,498,0,3717,44-23
851325,10125,452,0,7821,43-40
853412,10174,419,7282,0,0-00
853413,10174,348,4801,0,0-00
870818,10162,525,9246,0,0-00
870819,10162,537,9084,0,0-00
873902,10165,557,9892,0,0-00
849623,10035,447,4888,0,0-00
849624,10035,56,995,0,0-00
849531,10034,56,995,0,0-00
849532,10034,447,4888,0,0-00
846862,10106,226,4724,0,0-00
846904,10074,208,4257,0,0-00
846923,10074,410,6068,0,0-00
846924,10106,342,6485,0,0-00
847151,10080,452,7821,0,0-00
847170,10113,479,8449,0,0-00
847172,10113,471,7366,0,0-00
847174,10080,333,6599,0,0-00
847175,10002,104,7923,0,0-00
847187,10002,215,5581,0,0-00
847368,10075,496,7924,0,0-00
847369,10075,443,6600,0,0-00
847370,10100,499,9789,0,0-00
847371,10100,375,6280,0,0-00
847488,10089,26,1296,0,0-00
847490,10089,129,5694,0,0-00
847588,10002,215,0,5581,44-17
847720,10096,500,217,0,0-00
847744,10096,502,9322,0,0-00
847779,10115,515,9039,0,0-00
847835,10097,23,2559,0,0-00
847836,10097,214,4565,0,0-00
847994,10115,515,0,9039,42-59
848046,10070,31,7542,0,0-00
848063,10070,396,6488,0,0-00
848068,10100,499,0,9789,44-20
848070,10100,499,9789,0,44-54
848117,10073,379,71,0,0-00
848118,10073,109,4410,0,0-00
848215,10084,44,5516,0,0-00
848216,10084,53,3072,0,0-00
848346,10000,446,7979,0,0-00
848347,10000,398,4603,0,0-00
848382,10093,130,631,0,0-00
848383,10093,216,6584,0,0-00
848403,10072,35,1376,0,0-00
848404,10072,15,7519,0,0-00
848408,10033,29,673,0,0-00
848414,10033,442,7851,0,0-00
848458,10088,331,5123,0,0-00
848476,10088,22,4435,0,0-00
848630,10072,15,0,7519,44-25
848631,10072,15,7519,0,44-33
848693,9923,506,5096,0,0-00
848697,9923,111,2353,0,0-00
848718,10088,22,0,4435,44-29
848840,10068,17,997,0,0-00
848841,10068,46,6488,0,0-00
848942,10068,17,0,997,42-36
848958,10069,1,7472,0,0-00
848959,10069,49,222,0,0-00
849005,10094,491,4435,0,0-00
849006,10094,205,2458,0,0-00
849124,9922,335,6265,0,0-00
