ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
975156,11622,431,10403,0,0-00
975264,11619,489,8725,0,0-00
975265,11619,104,10151,0,0-00
975266,11283,31,995,0,0-00
975268,11283,452,6055,0,0-00
975317,11609,189,8360,0,0-00
975318,11609,336,2312,0,0-00
975451,11630,331,217,0,0-00
975453,11630,577,908,0,0-00
975494,11622,176,0,5509,44-38
975495,11622,176,5509,0,44-55
975713,11606,23,2559,0,0-00
975715,11606,214,4565,0,0-00
975867,11608,207,4257,0,0-00
975869,11608,438,10359,0,0-00
975999,11606,214,8012,4565,18-31
976047,11617,401,3072,0,0-00
976049,11617,545,10247,0,0-00
976125,11287,396,6488,0,0-00
976126,11287,35,7208,0,0-00
976214,11291,1,7472,0,0-00
976216,11291,573,10416,0,0-00
976227,11608,207,0,4257,44-46
976257,11626,568,6994,0,0-00
976259,11626,448,7966,0,0-00
976270,11612,569,7923,0,0-00
976271,11612,581,10435,0,0-00
976288,11618,245,7144,0,0-00
976289,11618,449,1194,0,0-00
976353,11287,396,0,6488,37-50
976356,11287,35,0,7208,37-50
976375,11287,35,7208,0,43-33
976498,11626,448,0,7966,44-30
976587,11612,569,0,7923,44-54
976590,11294,56,995,0,0-00
976591,11294,46,11434,0,0-00
976593,11618,449,0,1194,44-48
976621,11267,109,3075,0,0-00
976671,11632,215,8040,0,0-00
976672,11632,216,1126,0,0-00
976727,11293,578,4955,0,0-00
976730,11293,564,4037,0,0-00
976830,11293,564,8932,4037,22-00
976837,11571,111,2353,0,0-00
976838,11571,409,5873,0,0-00
976851,11293,564,0,8932,40-32
976869,11293,564,8932,0,43-00
976972,11288,494,154,0,0-00
976973,11288,393,8010,0,0-00
977265,11288,494,0,154,44-00
977436,11267,379,71,0,0-00
971963,11627,332,1060,0,0-00
971964,11627,566,1517,0,0-00
972097,11627,566,0,1517,44-15
972113,11611,38,4603,0,0-00
972114,11611,269,2438,0,0-00
972347,11620,130,5694,0,0-00
972394,11620,398,4339,0,0-00
972407,11285,396,6488,0,0-00
972422,11285,579,5464,0,0-00
972433,11624,499,8403,0,0-00
972434,11624,61,1502,0,0-00
972552,11631,411,5717,0,0-00
972554,11631,574,1312,0,0-00
972579,11285,579,0,5464,43-25
972627,11285,579,0,5464,44-43
972959,11305,505,9341,0,0-00
972960,11305,17,1619,0,0-00
972978,11623,445,8403,0,0-00
972979,11623,375,4360,0,0-00
973043,11305,505,4494,9341,30-00
973104,11269,408,4933,0,0-00
973194,11613,205,2458,0,0-00
973195,11613,446,9673,0,0-00
973217,11269,497,9601,0,0-00
973246,11289,610,11186,0,0-00
973247,11289,191,6599,0,0-00
973262,11292,573,10416,0,0-00
973264,11292,580,5751,0,0-00
973395,11621,400,8820,0,0-00
973396,11621,439,8709,0,0-00
973432,11625,405,5691,0,0-00
973433,11625,584,11314,0,0-00
973458,11610,26,9322,0,0-00
973459,11610,491,530,0,0-00
973498,11628,582,769,0,0-00
973629,11628,502,8829,0,0-00
973651,11629,504,10415,0,0-00
973652,11629,406,5771,0,0-00
973685,11629,406,1311,5771,6-23
973769,11628,502,6325,8829,30-47
973798,11628,502,0,6325,38-38
