ID,ID game,ID player,ID team,total time on ice,throws by,a shot on target,accurate transmission,blocked throws,skill,amplua
396,850,1455,64,0,0,0,0,0,0.0,9.0
397,850,1450,64,0,0,0,0,0,0.0,9.0
398,850,1437,64,0,0,0,0,0,0.0,9.0
399,850,3066,64,0,0,0,0,0,0.0,10.0
400,850,3062,64,0,0,0,0,0,0.0,10.0
401,850,1443,64,2,0,0,0,0,0.0,10.0
402,850,1510,64,2,0,0,0,0,0.0,10.0
403,850,1511,64,2,0,0,0,0,0.0,10.0
404,850,1448,64,2,0,0,0,0,0.0,9.0
405,850,1445,64,0,0,0,0,0,0.0,9.0
406,850,3064,64,0,0,0,0,0,0.0,9.0
407,850,1439,64,0,0,0,0,0,0.0,10.0
408,850,1454,64,0,0,0,0,0,0.0,10.0
409,850,3065,64,0,0,0,0,0,0.0,10.0
410,850,1126,138,0,0,0,0,0,0.0,8.0
411,850,1288,138,0,0,0,0,0,0.0,9.0
412,850,1283,138,0,0,0,0,0,0.0,9.0
413,850,1284,138,0,0,0,0,0,0.0,9.0
414,850,3060,138,0,0,0,0,0,0.0,9.0
415,850,1559,138,0,0,0,0,0,0.0,9.0
416,850,3056,138,0,0,0,0,0,0.0,9.0
417,850,1302,138,0,0,0,0,0,0.0,9.0
418,850,3057,138,0,0,0,0,0,0.0,10.0
419,850,3059,138,0,0,0,0,0,0.0,9.0
420,850,1269,138,0,0,0,0,0,0.0,10.0
421,850,3058,138,0,0,0,0,0,0.0,10.0
422,850,3055,138,0,0,0,0,0,0.0,10.0
423,850,1558,138,0,0,0,0,0,0.0,10.0
424,850,1278,138,0,0,0,0,0,0.0,10.0
425,6353,7222,63,0,0,0,0,0,0.0,8.0
426,6353,6423,63,0,0,0,0,0,0.0,9.0
427,6353,2328,63,0,0,0,0,0,0.0,9.0
428,6353,7538,63,0,0,0,0,0,0.0,9.0
429,6353,2222,63,0,0,0,0,0,0.0,9.0
430,6353,4249,63,0,0,0,0,0,0.0,9.0
431,6353,4321,63,0,0,0,0,0,0.0,9.0
432,6353,5821,63,0,0,0,0,0,0.0,9.0
433,6353,6266,63,0,0,0,0,0,8.0,10.0
434,6353,5203,63,0,0,0,0,0,0.0,10.0
435,6353,7199,63,0,0,0,0,0,0.0,10.0
436,6353,2322,63,0,0,0,0,0,0.0,10.0
