ID,ID game,ID player,ID team,None,total time on ice,throws by,a shot on target,blocked throws,skill,amplua
819.0,6790,7804.0,439,,650.0,2.0,1.0,1.0,0.0,10.0
820.0,6790,5616.0,439,,811.0,1.0,3.0,,0.0,10.0
821.0,6790,7807.0,439,,726.0,1.0,,1.0,0.0,9.0
822.0,6790,2321.0,439,,809.0,1.0,3.0,,0.0,10.0
823.0,6790,7802.0,439,,1176.0,2.0,5.0,,0.0,10.0
824.0,6790,7805.0,439,,997.0,,3.0,,0.0,9.0
825.0,6790,7815.0,439,,861.0,,4.0,1.0,0.0,10.0
827.0,6790,5509.0,176,,,,,,0.0,8.0
828.0,6790,7776.0,176,,862.0,,,,0.0,9.0
829.0,6790,7779.0,176,,852.0,2.0,2.0,,,
830.0,6790,2237.0,176,,889.0,1.0,,1.0,0.0,9.0
831.0,6790,7778.0,176,,1032.0,,,,0.0,9.0
832.0,6790,1536.0,176,,1115.0,2.0,1.0,,0.0,9.0
833.0,6790,7777.0,176,,653.0,,,1.0,0.0,9.0
834.0,6790,7004.0,176,,276.0,,,,0.0,9.0
835.0,6790,6518.0,176,,632.0,1.0,,,0.0,9.0
836.0,6790,2236.0,176,,1070.0,,4.0,,0.0,10.0
837.0,6790,7780.0,176,,551.0,1.0,,,0.0,10.0
838.0,6790,5544.0,176,,1043.0,,3.0,,0.0,10.0
839.0,6790,1549.0,176,,641.0,1.0,5.0,1.0,0.0,10.0
840.0,6790,6303.0,176,,877.0,1.0,3.0,1.0,0.0,10.0
841.0,6790,7081.0,176,,345.0,,,,0.0,10.0
842.0,6790,876.0,176,,1041.0,3.0,6.0,1.0,0.0,10.0
843.0,6790,2241.0,176,,804.0,,5.0,,0.0,10.0
918.0,6860,2459.0,26,,,,,,0.0,8.0
919.0,6860,4495.0,26,,1180.0,1.0,1.0,,0.0,9.0
920.0,6860,2464.0,26,,864.0,1.0,,1.0,0.0,9.0
921.0,6860,2463.0,26,,730.0,,,,0.0,9.0
922.0,6860,1036.0,26,,404.0,,,1.0,0.0,9.0
923.0,6860,2549.0,26,,1202.0,3.0,3.0,1.0,0.0,10.0
924.0,6860,1356.0,26,,900.0,1.0,1.0,,0.0,10.0
925.0,6860,5951.0,26,,277.0,,1.0,,0.0,10.0
926.0,6860,2460.0,26,,787.0,1.0,2.0,1.0,0.0,10.0
927.0,6860,2472.0,26,,296.0,,,,0.0,10.0
928.0,6860,5641.0,26,,468.0,2.0,,1.0,0.0,10.0
929.0,6860,2461.0,26,,861.0,1.0,,2.0,0.0,10.0
930.0,6860,4500.0,26,,836.0,3.0,1.0,,0.0,10.0
931.0,6860,4499.0,26,,975.0,,2.0,,0.0,10.0
932.0,6860,3631.0,26,,962.0,2.0,1.0,1.0,0.0,10.0
933.0,6860,1350.0,26,,266.0,,,,0.0,10.0
934.0,6860,7064.0,403,,,,,,0.0,8.0
936.0,6860,6608.0,403,,358.0,1.0,,,0.0,9.0
937.0,6860,7617.0,403,,712.0,3.0,3.0,,0.0,9.0
938.0,6860,4476.0,403,,1360.0,3.0,1.0,1.0,0.0,9.0
