ID game,ID team,ID player,pl_rating
11827,49.00,919.00,0.00
11827,49.00,7200.00,0.00
11827,49.00,3458.00,0.00
11827,49.00,917.00,0.00
11827,49.00,202.00,0.00
11827,49.00,277.00,0.00
11827,49.00,1013.00,0.00
11827,49.00,203.00,0.00
11827,49.00,208.00,0.00
11827,49.00,3449.00,0.00
11827,49.00,921.00,0.00
11827,49.00,8081.00,0.00
11827,49.00,3461.00,0.00
11827,49.00,8927.00,0.00
11827,49.00,2194.00,0.00
11827,447.00,5696.00,0.00
11827,447.00,11438.00,0.00
11827,447.00,5081.00,0.00
11827,447.00,2770.00,0.00
11827,447.00,2281.00,0.00
11827,447.00,4677.00,0.00
11827,447.00,8753.00,0.00
11827,447.00,7788.00,0.00
11827,447.00,8754.00,0.00
11827,447.00,10142.00,0.00
11827,447.00,4877.00,0.00
11827,447.00,6499.00,0.00
11827,447.00,8037.00,0.00
11827,447.00,5082.00,0.00
11827,447.00,2270.00,0.00
11827,49.00,222.00,0.00
11827,447.00,4235.00,0.00
11840,46.00,1570.00,0.00
11840,46.00,3990.00,0.00
11840,46.00,636.00,0.00
11840,46.00,6227.00,0.00
11840,46.00,8079.00,0.00
11840,46.00,5505.00,0.00
11840,46.00,302.00,0.00
11840,46.00,7238.00,0.00
11840,46.00,298.00,0.00
11840,46.00,5075.00,0.00
11840,564.00,2890.00,0.00
11840,564.00,2209.00,0.00
11840,564.00,399.00,0.00
11840,564.00,3228.00,0.00
11840,564.00,405.00,0.00
11840,564.00,813.00,0.00
11840,564.00,4226.00,0.00
11840,564.00,10884.00,0.00
11840,564.00,3239.00,0.00
11840,564.00,4546.00,0.00
11840,564.00,174.00,0.00
11840,564.00,4389.00,0.00
11840,46.00,11434.00,0.00
11840,564.00,2478.00,0.00
11841,505.00,7999.00,0.00
11841,17.00,7598.00,0.00
11841,17.00,256.00,0.00
11841,505.00,4643.00,0.00
11841,17.00,4544.00,0.00
11841,17.00,10249.00,0.00
11841,505.00,5762.00,0.00
11841,17.00,412.00,0.00
11841,17.00,186.00,0.00
11841,505.00,3470.00,0.00
11841,17.00,3076.00,0.00
11841,505.00,8933.00,0.00
11841,17.00,7601.00,0.00
11841,505.00,892.00,0.00
11841,17.00,3079.00,0.00
11841,505.00,4422.00,0.00
11841,17.00,953.00,0.00
11841,505.00,7825.00,0.00
11841,17.00,3481.00,0.00
11841,505.00,6502.00,0.00
11841,17.00,5069.00,0.00
11841,505.00,6891.00,0.00
11841,505.00,9298.00,0.00
11841,505.00,492.00,0.00
11841,505.00,4072.00,0.00
11841,505.00,9341.00,0.00
11841,17.00,1619.00,0.00
11898,12.00,571.00,0.00
11898,12.00,2862.00,0.00
11898,12.00,6069.00,0.00
11898,12.00,227.00,0.00
11898,12.00,295.00,0.00
11898,12.00,843.00,0.00
11898,12.00,5021.00,0.00
11898,12.00,2807.00,0.00
11898,12.00,6145.00,0.00
11898,12.00,2450.00,0.00
11898,239.00,5192.00,0.00
11898,239.00,10202.00,0.00
11898,239.00,10344.00,0.00
11898,239.00,7182.00,0.00
11898,239.00,456.00,0.00
11898,239.00,6744.00,0.00
11898,239.00,1576.00,0.00
11898,239.00,4634.00,0.00
11898,239.00,419.00,0.00
11898,239.00,7153.00,0.00
11898,239.00,8659.00,0.00
11898,239.00,4631.00,0.00
11898,239.00,8025.00,0.00
11898,239.00,7828.00,0.00
11898,239.00,6216.00,0.00
11898,12.00,2309.00,0.00
11898,239.00,306.00,0.00
11953,23.00,11561.00,0.00
11953,329.00,11439.00,0.00
11953,329.00,5670.00,0.00
11953,23.00,4228.00,0.00
11953,329.00,6535.00,0.00
11953,329.00,8679.00,0.00
11953,23.00,2278.00,0.00
11953,329.00,10525.00,0.00
11953,23.00,1107.00,0.00
11953,329.00,9334.00,0.00
11953,23.00,5223.00,0.00
11953,329.00,1195.00,0.00
11953,23.00,2155.00,0.00
11953,23.00,1102.00,0.00
11953,329.00,5832.00,0.00
11953,23.00,2203.00,0.00
11953,329.00,375.00,0.00
11953,329.00,5681.00,0.00
11953,23.00,4184.00,0.00
11953,329.00,7204.00,0.00
11953,23.00,5687.00,0.00
11953,23.00,4183.00,0.00
11953,329.00,5677.00,0.00
11953,23.00,2824.00,0.00
11953,329.00,4978.00,0.00
11953,329.00,10126.00,0.00
11953,23.00,2559.00,0.00
11953,329.00,4246.00,0.00
11997,129.00,4337.00,0.00
11997,129.00,7605.00,0.00
11997,129.00,125.00,0.00
11997,129.00,1250.00,0.00
11997,129.00,3697.00,0.00
11997,129.00,1252.00,0.00
11997,129.00,6764.00,0.00
11997,129.00,1237.00,0.00
11997,129.00,7078.00,0.00
11997,129.00,2479.00,0.00
11997,129.00,1255.00,0.00
11997,129.00,4531.00,0.00
11997,129.00,5025.00,0.00
11997,129.00,2743.00,0.00
11997,129.00,4654.00,0.00
11997,26.00,4495.00,0.00
11997,26.00,2464.00,0.00
11997,26.00,2799.00,0.00
11997,26.00,292.00,0.00
11997,26.00,7104.00,0.00
11997,26.00,2549.00,0.00
11997,26.00,6532.00,0.00
11997,26.00,7524.00,0.00
11997,26.00,1356.00,0.00
11997,26.00,6197.00,0.00
11997,26.00,2472.00,0.00
11997,26.00,2466.00,0.00
11997,26.00,4499.00,0.00
11997,26.00,8808.00,0.00
11997,26.00,5641.00,0.00
11997,129.00,5694.00,0.00
11997,26.00,9322.00,0.00
12119,35.00,3453.00,0.00
12119,35.00,10388.00,0.00
12119,35.00,3458.00,0.00
12119,35.00,986.00,0.00
12119,35.00,765.00,0.00
