ID game,ID team,rating,date,old_rating
<<<<<<< HEAD
1111,61.0,0.01,2018-11-25,0.0
1111,63.0,0.01,2018-11-25,0.0
6985,17.0,0.02,2022-09-17,0.0
6985,447.0,0.02,2022-09-17,0.0
6986,1.0,0.01,2022-09-17,0.0
6986,46.0,0.01,2022-09-17,0.0
6987,4.0,0.01,2022-09-17,0.0
6987,56.0,0.02,2022-09-17,0.0
7201,26.0,0.01,2022-09-17,0.0
7201,207.0,0.01,2022-09-17,0.0
7203,214.0,0.01,2022-09-17,0.0
7203,441.0,0.01,2022-09-17,0.0
7204,200.0,0.01,2022-09-17,0.0
7204,410.0,0.01,2022-09-17,0.0
7205,48.0,0.01,2022-09-17,0.0
7205,208.0,0.01,2022-09-17,0.0
7206,63.0,0.01,2022-09-17,0.01
7206,379.0,0.01,2022-09-17,0.0
7207,405.0,0.01,2022-09-17,0.0
7207,408.0,0.01,2022-09-17,0.0
7208,53.0,0.01,2022-09-17,0.0
7208,211.0,0.01,2022-09-17,0.0
7209,129.0,0.01,2022-09-17,0.0
7209,440.0,0.01,2022-09-17,0.0
7210,130.0,0.02,2022-09-17,0.0
7210,411.0,0.01,2022-09-17,0.0
7211,109.0,0.01,2022-09-17,0.0
7211,409.0,0.02,2022-09-17,0.0
7212,187.0,0.01,2022-09-17,0.0
7212,333.0,0.02,2022-09-17,0.0
7216,132.0,0.01,2022-09-17,0.0
7216,446.0,0.01,2022-09-17,0.0
7217,65.0,0.01,2022-09-17,0.0
7217,404.0,0.01,2022-09-17,0.0
7220,110.0,0.01,2022-09-17,0.0
7220,269.0,0.01,2022-09-17,0.0
7057,15.0,0.01,2022-09-18,0.0
7057,452.0,0.01,2022-09-18,0.0
7058,12.0,0.01,2022-09-18,0.0
7058,35.0,0.02,2022-09-18,0.0
7060,111.0,0.01,2022-09-18,0.0
7060,239.0,0.01,2022-09-18,0.0
7213,138.0,0.01,2022-09-18,0.0
7213,450.0,0.01,2022-09-18,0.0
7215,332.0,0.02,2022-09-18,0.0
7215,438.0,0.02,2022-09-18,0.0
7218,61.0,0.01,2022-09-18,0.01
7218,445.0,0.02,2022-09-18,0.0
7219,205.0,0.02,2022-09-18,0.0
7219,216.0,0.01,2022-09-18,0.0
7222,23.0,0.02,2022-09-18,0.0
7222,336.0,0.01,2022-09-18,0.0
7223,335.0,0.02,2022-09-18,0.0
7223,403.0,0.01,2022-09-18,0.0
7224,439.0,0.01,2022-09-18,0.0
7224,449.0,0.02,2022-09-18,0.0
7226,44.0,0.01,2022-09-18,0.0
7226,189.0,0.02,2022-09-18,0.0
7227,402.0,0.01,2022-09-18,0.0
7227,407.0,0.01,2022-09-18,0.0
7228,176.0,0.01,2022-09-18,0.0
7228,453.0,0.01,2022-09-18,0.0
7229,375.0,0.01,2022-09-18,0.0
7229,451.0,0.01,2022-09-18,0.0
7230,8.0,0.01,2022-09-18,0.0
7230,331.0,0.02,2022-09-18,0.0
7231,400.0,0.02,2022-09-18,0.0
7231,401.0,0.01,2022-09-18,0.0
7232,22.0,0.01,2022-09-18,0.0
7232,64.0,0.01,2022-09-18,0.0
6988,4.0,0.01,2022-09-24,0.01
6988,442.0,0.01,2022-09-24,0.0
6989,17.0,0.02,2022-09-24,0.02
6989,29.0,0.01,2022-09-24,0.0
7233,26.0,0.02,2022-09-24,0.01
7233,407.0,0.01,2022-09-24,0.01
7234,207.0,0.01,2022-09-24,0.01
7234,331.0,0.01,2022-09-24,0.02
7235,110.0,0.01,2022-09-24,0.01
7235,189.0,0.01,2022-09-24,0.02
7236,138.0,0.01,2022-09-24,0.01
7236,405.0,0.01,2022-09-24,0.01
7238,131.0,0.02,2022-09-24,0.0
7238,333.0,0.01,2022-09-24,0.02
7239,191.0,0.01,2022-09-24,0.0
7239,379.0,0.01,2022-09-24,0.01
7241,61.0,0.01,2022-09-24,0.01
7241,404.0,0.02,2022-09-24,0.01
7242,65.0,0.01,2022-09-24,0.01
7242,332.0,0.01,2022-09-24,0.02
7250,130.0,0.01,2022-09-24,0.02
7250,453.0,0.01,2022-09-24,0.01
7255,397.0,0.01,2022-09-24,0.0
7255,401.0,0.01,2022-09-24,0.01
7258,132.0,0.01,2022-09-24,0.01
7258,406.0,0.02,2022-09-24,0.0
