ID game,ID team,ID player,missed pucks,total throws,% of reflected shots
7254.00,431.00,6871.00,2.00,28.00,92.86
7248.00,187.00,8040.00,8.00,30.00,73.33
7062.00,239.00,2478.00,1.00,11.00,90.91
7062.00,396.00,6488.00,3.00,30.00,90.00
7256.00,205.00,1046.00,0.00,14.00,100.00
7256.00,104.00,8012.00,3.00,25.00,88.00
7249.00,109.00,6040.00,8.00,24.00,66.67
7249.00,48.00,195.00,2.00,24.00,91.67
6991.00,56.00,995.00,2.00,9.00,77.78
6991.00,447.00,1598.00,5.00,22.00,77.27
7064.00,35.00,5751.00,5.00,28.00,82.14
7064.00,15.00,7519.00,8.00,29.00,72.41
7244.00,448.00,7966.00,8.00,32.00,75.00
7244.00,44.00,5516.00,1.00,17.00,94.12
7063.00,399.00,7472.00,6.00,29.00,79.31
7063.00,111.00,3717.00,2.00,21.00,90.48
7061.00,12.00,6605.00,3.00,49.00,93.88
7061.00,31.00,995.00,4.00,21.00,80.95
7257.00,8.00,7620.00,8.00,30.00,73.33
7257.00,269.00,4360.00,4.00,19.00,78.95
7246.00,450.00,4933.00,7.00,24.00,70.83
7246.00,443.00,599.00,4.00,10.00,60.00
7277.00,401.00,1176.00,10.00,31.00,67.74
7277.00,411.00,5723.00,3.00,13.00,76.92
7281.00,269.00,4360.00,3.00,15.00,80.00
7281.00,26.00,2459.00,1.00,20.00,95.00
7274.00,216.00,6584.00,2.00,17.00,88.24
7274.00,406.00,7837.00,3.00,21.00,85.71
7269.00,22.00,4435.00,4.00,22.00,81.82
7269.00,336.00,5536.00,1.00,21.00,95.24
7263.00,208.00,4257.00,6.00,18.00,66.67
7263.00,187.00,3717.00,1.00,28.00,96.43
7280.00,331.00,217.00,0.00,6.00,100.00
7280.00,448.00,7970.00,2.00,25.00,92.00
7270.00,132.00,339.00,0.00,26.00,100.00
7270.00,61.00,4410.00,5.00,22.00,77.27
7287.00,431.00,6871.00,0.00,8.00,100.00
7264.00,333.00,938.00,1.00,20.00,95.00
7264.00,109.00,6040.00,7.00,36.00,80.56
