ID game,ID team,ID opponent,result,GT,timeT,TB_T,ShotT,BT_T,PM_T,As_T,As_T_2,GO,timeO,TB_O,ShotO,BT_O,PM_O,As_O,As_O_2,refl_sh_T,refl_sh_O,ID season,stage,division,date,ELO,ELO_O,E_S,E_S_O,ELO_old,ELO_O_old
7216,132,446,W,3.00,12187.00,22.00,11.00,4.00,9.00,0.00,0.00,0.00,12070.00,10.00,7.00,2.00,-10.00,0.00,0.00,100.00,72.73,67.00,1,4,2022-09-17,1124.50,1075.50,0.50,0.50,1100.00,1100.00
7217,65,404,L,5.00,12386.00,17.00,26.00,0.00,-11.00,5.00,4.00,6.00,12452.00,12.00,18.00,3.00,9.00,4.00,0.00,66.67,80.77,67.00,1,4,2022-09-17,1145.76,1129.74,0.61,0.39,1175.50,1100.00
7220,269,110,W,5.00,12971.00,24.00,40.00,8.00,-5.00,4.00,2.00,3.00,12889.00,20.00,21.00,2.00,5.00,0.00,0.00,85.71,87.50,67.00,1,3,2022-09-17,1224.50,1175.50,0.50,0.50,1200.00,1200.00
7057,452,15,L,1.00,13043.00,27.00,18.00,5.00,-35.00,0.00,0.00,8.00,13392.00,8.00,25.00,3.00,34.00,6.00,4.00,68.00,94.44,68.00,1,1,2022-09-18,1375.50,1424.50,0.50,0.50,1400.00,1400.00
7058,35,12,W,10.00,12238.00,16.00,45.00,4.00,15.00,9.00,7.00,4.00,12973.00,10.00,24.00,2.00,-16.00,4.00,2.00,83.33,77.78,68.00,1,1,2022-09-18,1421.31,1375.26,0.50,0.50,1396.57,1400.00
7060,239,111,W,6.00,12192.00,15.00,39.00,3.00,6.00,6.00,3.00,1.00,12067.00,6.00,14.00,3.00,-5.00,1.00,0.00,92.86,84.62,68.00,1,1,2022-09-18,1409.91,1490.09,0.30,0.70,1375.50,1524.50
7213,138,450,L,1.00,11383.00,8.00,30.00,3.00,-5.00,0.00,0.00,4.00,12016.00,10.00,24.00,5.00,5.00,2.00,1.00,83.33,96.67,67.00,1,1,2022-09-18,1305.24,1419.26,0.39,0.61,1324.50,1400.00
7214,329,443,W,11.00,11383.00,8.00,32.00,14.00,50.00,8.00,2.00,1.00,12079.00,28.00,14.00,3.00,-50.00,0.00,0.00,92.86,,67.00,1,1,2022-09-18,1424.50,1375.50,0.50,0.50,1400.00,1400.00
7215,438,332,W,8.00,12982.00,23.00,29.00,7.00,15.00,4.00,3.00,4.00,12546.00,19.00,17.00,10.00,-15.00,2.00,0.00,76.47,72.41,67.00,1,4,2022-09-18,1124.50,1075.50,0.50,0.50,1100.00,1100.00
7218,61,445,W,5.00,11956.00,19.00,35.00,6.00,-4.00,4.00,2.00,4.00,12687.00,15.00,17.00,6.00,3.00,3.00,1.00,76.47,85.71,67.00,1,4,2022-09-18,1240.58,1083.92,0.67,0.33,1224.50,1100.00
