ID player,amplua,games,goals,p_goals,assists,p_assists,throws_by,p_throws_by,shot_on_target,p_shot_on_target,blocked_throws,p_blocked_throws,p_m,p_p_m,player_rating
74.0,9.0,46,13.0,41.45,10.0,35.95,57.0,167.07,97.0,354.32,15.0,45.34,9.0,34.21,678.34
79.0,9.0,28,4.0,18.35,6.0,21.73,40.0,122.92,39.0,118.77,23.0,62.0,-10.0,2.68,346.45
92.0,9.0,22,0.0,9.78,0.0,9.78,18.0,48.51,20.0,54.63,14.0,37.35,-4.0,5.17,165.21
94.0,9.0,9,3.0,9.0,1.0,5.44,23.0,93.44,22.0,87.11,22.0,87.11,-21.0,25.0,307.11
104.0,9.0,32,7.0,25.09,5.0,21.67,24.0,64.22,46.0,141.68,5.0,21.67,-13.0,2.17,276.5
107.0,9.0,13,1.0,7.19,5.0,14.37,21.0,67.7,18.0,54.7,8.0,21.37,-2.0,3.42,168.74
116.0,9.0,56,4.0,30.51,6.0,33.53,78.0,237.53,60.0,169.17,68.0,198.13,36.0,96.03,764.9
118.0,9.0,23,0.0,10.22,1.0,11.6,16.0,42.69,24.0,67.27,3.0,14.61,-4.0,5.58,151.97
123.0,9.0,6,0.0,2.67,0.0,2.67,3.0,8.17,4.0,10.67,5.0,13.5,-3.0,0.17,37.83
124.0,9.0,34,10.0,31.39,9.0,29.49,59.0,196.16,92.0,386.72,9.0,29.49,-11.0,4.0,677.25
126.0,9.0,29,3.0,17.2,8.0,25.76,23.0,61.8,25.0,67.77,9.0,27.68,15.0,40.65,240.86
130.0,9.0,6,0.0,2.67,1.0,4.17,4.0,10.67,1.0,4.17,7.0,20.17,5.0,13.5,55.33
158.0,9.0,42,10.0,34.38,6.0,27.52,99.0,384.02,95.0,360.21,18.0,50.38,-25.0,0.21,856.74
159.0,9.0,11,0.0,4.89,3.0,9.71,4.0,11.68,6.0,16.16,1.0,6.31,0.0,4.89,53.64
162.0,9.0,32,2.0,17.01,8.0,26.89,44.0,133.39,29.0,79.17,25.0,67.09,-21.0,0.0,323.55
167.0,9.0,6,0.0,2.67,0.0,2.67,3.0,8.17,2.0,6.0,5.0,13.5,-13.0,13.5,46.5
169.0,9.0,39,3.0,21.56,7.0,27.92,61.0,194.08,52.0,156.0,24.0,64.1,5.0,24.64,488.31
170.0,9.0,39,3.0,21.56,3.0,21.56,52.0,156.0,50.0,148.1,31.0,83.31,-6.0,10.26,440.79
181.0,9.0,31,1.0,15.14,4.0,19.63,17.0,45.77,11.0,32.35,40.0,118.72,10.0,30.34,261.95
191.0,9.0,40,2.0,20.54,2.0,20.54,62.0,196.54,31.0,83.14,44.0,124.84,-4.0,12.84,458.46
202.0,9.0,48,9.0,35.02,13.0,42.19,50.0,140.08,75.0,238.52,39.0,105.02,-5.0,15.19,576.02
207.0,9.0,43,2.0,21.87,6.0,27.95,39.0,106.48,43.0,119.44,12.0,38.46,-11.0,7.26,321.47
210.0,9.0,5,0.0,2.22,2.0,5.69,8.0,25.69,2.0,5.69,1.0,3.76,-6.0,1.42,44.47
213.0,9.0,11,0.0,4.89,6.0,16.16,6.0,16.16,6.0,16.16,5.0,13.83,11.0,30.56,97.76
215.0,9.0,17,0.0,7.56,0.0,7.56,16.0,43.95,8.0,21.99,16.0,43.95,-3.0,4.08,129.08
216.0,9.0,21,2.0,12.19,0.0,9.33,23.0,65.19,27.0,80.05,17.0,45.76,-4.0,4.76,217.29
227.0,9.0,36,2.0,18.78,7.0,26.69,34.0,93.44,29.0,78.03,59.0,191.36,-31.0,1.36,409.67
235.0,9.0,19,0.0,8.44,1.0,9.83,12.0,32.02,8.0,22.48,5.0,16.43,2.0,11.32,100.53
244.0,9.0,24,11.0,30.38,6.0,20.17,63.0,260.04,92.0,486.0,5.0,18.38,-5.0,5.04,820.0
252.0,9.0,15,3.0,11.27,2.0,9.6,15.0,41.67,20.0,60.0,9.0,24.07,1.0,8.07,154.67
256.0,9.0,68,29.0,81.26,14.0,51.77,109.0,350.28,155.0,590.2,37.0,99.69,49.0,130.86,1304.05
265.0,9.0,5,0.0,2.22,2.0,5.69,4.0,10.76,6.0,17.42,5.0,13.89,-2.0,0.36,50.33
269.0,9.0,2,1.0,2.72,1.0,2.72,3.0,9.39,3.0,9.39,0.0,0.89,0.0,0.89,26.0
273.0,9.0,11,1.0,6.31,1.0,6.31,10.0,27.31,12.0,33.98,6.0,16.16,10.0,27.31,117.39
277.0,9.0,53,12.0,42.27,6.0,32.23,67.0,197.59,104.0,366.3,52.0,143.91,-11.0,11.17,793.47
283.0,9.0,11,2.0,7.92,1.0,6.31,16.0,49.49,17.0,53.83,3.0,9.71,1.0,6.31,133.58
287.0,9.0,29,0.0,12.89,4.0,18.77,22.0,58.91,12.0,33.85,15.0,40.65,12.0,33.85,198.93
292.0,9.0,43,0.0,19.11,4.0,24.82,28.0,74.68,28.0,74.68,39.0,106.48,-38.0,2.03,301.79
294.0,9.0,66,3.0,33.47,9.0,42.56,82.0,240.55,86.0,256.06,93.0,284.38,-40.0,0.24,857.26
301.0,9.0,1,0.0,0.44,0.0,0.44,1.0,2.78,2.0,7.11,1.0,2.78,1.0,2.78,16.33
303.0,9.0,6,1.0,4.17,1.0,4.17,8.0,24.0,11.0,37.5,4.0,10.67,-1.0,1.5,82.0
343.0,9.0,21,4.0,15.43,6.0,19.05,33.0,105.19,30.0,92.19,15.0,40.05,-1.0,8.05,279.95
349.0,9.0,1,0.0,0.44,1.0,2.78,1.0,2.78,5.0,32.11,1.0,2.78,-1.0,0.11,41.0
351.0,9.0,3,0.0,1.33,1.0,3.0,3.0,8.33,1.0,3.0,1.0,3.0,-9.0,16.33,35.0
353.0,9.0,24,0.0,10.67,1.0,12.04,17.0,45.38,13.0,35.04,2.0,13.5,-1.0,9.38,126.0
356.0,9.0,18,3.0,12.5,3.0,12.5,35.0,122.72,38.0,138.89,37.0,133.39,-1.0,6.72,426.72
362.0,9.0,49,28.0,75.11,10.0,37.15,83.0,273.04,134.0,566.89,21.0,58.78,35.0,93.44,1104.41
370.0,9.0,7,0.0,3.11,0.0,3.11,1.0,4.59,4.0,10.73,3.0,8.4,0.0,3.11,33.05
372.0,9.0,45,3.0,24.2,3.0,24.2,23.0,62.42,13.0,41.09,40.0,108.89,20.0,55.56,316.36
374.0,9.0,10,4.0,11.38,1.0,5.88,14.0,42.71,18.0,60.84,2.0,7.51,5.0,13.61,141.93
381.0,9.0,43,8.0,31.27,5.0,26.36,40.0,109.65,40.0,109.65,44.0,122.8,-15.0,4.34,404.08
385.0,9.0,2,1.0,2.72,1.0,2.72,3.0,9.39,4.0,14.22,0.0,0.89,3.0,9.39,39.33
397.0,9.0,44,6.0,28.37,7.0,30.0,54.0,157.83,62.0,189.59,25.0,67.09,6.0,28.37,501.26
399.0,9.0,65,18.0,57.87,6.0,37.44,79.0,230.24,124.0,430.78,40.0,106.84,-8.0,19.21,882.37
402.0,9.0,18,1.0,9.39,2.0,10.89,10.0,26.89,10.0,26.89,6.0,18.0,6.0,18.0,110.06
407.0,9.0,21,3.0,13.76,2.0,12.19,19.0,51.86,30.0,92.19,13.0,34.71,14.0,37.33,242.05
412.0,9.0,43,2.0,21.87,8.0,31.27,20.0,55.08,18.0,50.65,40.0,109.65,0.0,19.11,287.63
435.0,9.0,60,11.0,43.35,3.0,30.82,74.0,216.6,60.0,166.67,40.0,106.67,33.0,88.82,652.92
438.0,9.0,23,1.0,11.6,5.0,17.98,10.0,27.9,17.0,45.45,12.0,32.48,-18.0,0.31,135.72
444.0,9.0,25,1.0,12.48,3.0,15.47,29.0,83.42,37.0,115.2,32.0,94.74,-1.0,9.82,331.13
446.0,9.0,13,1.0,7.19,2.0,8.75,5.0,14.37,3.0,10.47,11.0,29.75,-4.0,1.68,72.21
447.0,9.0,1,0.0,0.44,0.0,0.44,2.0,7.11,1.0,2.78,0.0,0.44,-3.0,5.44,16.67
450.0,9.0,11,0.0,4.89,2.0,7.92,16.0,49.49,21.0,72.98,12.0,33.98,-7.0,0.01,169.27
452.0,9.0,22,2.0,12.63,1.0,11.16,18.0,48.51,15.0,40.01,15.0,40.01,10.0,27.66,179.95
454.0,9.0,10,1.0,5.88,1.0,5.88,14.0,42.71,27.0,113.34,10.0,27.78,-4.0,0.71,196.3
456.0,9.0,44,1.0,20.91,10.0,35.16,52.0,150.34,65.0,202.24,45.0,125.58,36.0,97.01,631.25
486.0,9.0,1,0.0,0.44,0.0,0.44,0.0,0.44,1.0,2.78,1.0,2.78,1.0,2.78,9.67
495.0,9.0,33,2.0,17.45,7.0,25.48,63.0,218.94,43.0,128.03,29.0,78.82,-15.0,1.48,470.21
496.0,9.0,35,1.0,16.92,1.0,16.92,63.0,212.96,43.0,125.72,21.0,56.16,-24.0,0.01,428.68
506.0,9.0,1,0.0,0.44,0.0,0.44,0.0,0.44,1.0,2.78,0.0,0.44,-2.0,1.78,6.33
519.0,9.0,6,0.0,2.67,0.0,2.67,9.0,28.17,6.0,16.67,3.0,8.17,-7.0,1.5,59.83
524.0,9.0,41,1.0,19.58,4.0,23.95,32.0,85.86,41.0,113.89,37.0,100.95,19.0,52.36,396.59
527.0,9.0,21,1.0,10.71,3.0,13.76,14.0,37.33,25.0,72.43,20.0,55.05,7.0,21.0,210.29
531.0,9.0,51,21.0,59.31,7.0,32.96,58.0,165.96,124.0,489.49,5.0,29.82,0.0,22.67,800.22
535.0,9.0,6,1.0,4.17,1.0,4.17,11.0,37.5,5.0,13.5,3.0,8.17,1.0,4.17,71.67
541.0,9.0,9,0.0,4.0,0.0,4.0,8.0,21.78,7.0,18.78,2.0,7.11,-8.0,0.44,56.11
544.0,9.0,29,3.0,17.2,4.0,18.77,31.0,87.36,24.0,64.75,36.0,105.58,-5.0,7.08,300.75
556.0,9.0,15,7.0,19.27,6.0,17.07,26.0,86.4,41.0,173.4,2.0,9.6,-7.0,0.6,306.33
564.0,9.0,1,0.0,0.44,0.0,0.44,0.0,0.44,0.0,0.44,0.0,0.44,-3.0,5.44,7.67
568.0,9.0,23,6.0,19.79,3.0,14.61,21.0,57.4,34.0,105.82,18.0,48.31,-17.0,0.12,246.04
571.0,9.0,29,0.0,12.89,1.0,14.26,16.0,43.05,8.0,25.76,28.0,77.26,-32.0,5.53,178.75
577.0,9.0,29,2.0,15.69,6.0,22.13,24.0,64.75,13.0,36.05,36.0,105.58,4.0,18.77,262.98
587.0,9.0,15,0.0,6.67,3.0,11.27,15.0,41.67,11.0,29.4,15.0,41.67,-3.0,3.27,133.93
589.0,9.0,59,17.0,53.79,15.0,50.04,141.0,551.19,154.0,633.52,29.0,79.14,54.0,147.65,1515.32
590.0,9.0,18,4.0,14.22,2.0,10.89,29.0,93.39,28.0,88.89,41.0,156.06,-21.0,4.5,367.94
592.0,9.0,50,0.0,22.22,5.0,29.39,53.0,149.07,37.0,98.94,36.0,96.14,9.0,35.84,431.6
593.0,9.0,32,1.0,15.59,6.0,23.35,25.0,67.09,15.0,41.25,16.0,43.56,-6.0,7.35,198.18
606.0,9.0,3,0.0,1.33,0.0,1.33,4.0,12.0,6.0,21.33,3.0,8.33,-6.0,5.33,49.67
616.0,9.0,4,0.0,1.78,1.0,3.36,0.0,1.78,3.0,8.03,1.0,3.36,-6.0,2.78,21.08
618.0,9.0,37,8.0,28.84,9.0,30.63,46.0,134.97,84.0,319.15,36.0,99.47,-31.0,1.08,614.14
619.0,9.0,37,1.0,17.8,7.0,27.1,35.0,96.22,30.0,80.77,35.0,96.22,-10.0,5.81,323.93
628.0,9.0,35,8.0,28.05,8.0,28.05,40.0,114.6,52.0,162.15,22.0,58.72,-16.0,1.54,393.1
633.0,9.0,12,0.0,5.33,1.0,6.75,12.0,33.33,7.0,18.75,8.0,21.33,-12.0,1.33,86.83
636.0,9.0,24,1.0,12.04,1.0,12.04,21.0,57.04,15.0,40.04,16.0,42.67,-25.0,3.38,167.21
647.0,9.0,14,2.0,9.17,2.0,9.17,20.0,61.46,21.0,65.72,8.0,21.46,15.0,42.29,209.29
655.0,9.0,60,1.0,28.02,8.0,38.4,45.0,120.42,31.0,84.02,61.0,170.02,5.0,33.75,474.62
670.0,9.0,10,0.0,4.44,0.0,4.44,4.0,11.38,12.0,34.84,11.0,31.21,-3.0,1.34,87.67
672.0,9.0,40,4.0,23.51,15.0,43.4,46.0,132.01,87.0,323.0,10.0,33.61,8.0,30.04,585.58
676.0,9.0,16,0.0,7.11,4.0,13.44,10.0,26.69,16.0,44.44,9.0,24.17,18.0,51.36,167.23
681.0,9.0,37,3.0,20.69,4.0,22.21,51.0,154.74,48.0,142.71,24.0,64.01,-7.0,8.44,412.8
685.0,9.0,66,5.0,36.38,3.0,33.47,56.0,151.52,55.0,148.5,35.0,94.56,1.0,30.68,495.11
693.0,9.0,41,1.0,19.58,1.0,19.58,26.0,69.38,26.0,69.38,18.0,50.12,0.0,18.22,246.26
694.0,9.0,19,0.0,8.44,2.0,11.32,19.0,52.78,20.0,56.16,15.0,40.29,13.0,34.67,203.67
696.0,9.0,67,7.0,39.84,14.0,51.37,127.0,439.84,127.0,439.84,40.0,106.99,9.0,42.99,1120.88
697.0,9.0,69,14.0,52.17,15.0,53.93,105.0,330.45,107.0,339.26,42.0,112.23,23.0,69.0,957.04
698.0,9.0,3,0.0,1.33,1.0,3.0,1.0,3.0,1.0,3.0,4.0,12.0,-4.0,1.33,23.67
699.0,9.0,23,3.0,14.61,2.0,13.06,51.0,191.31,54.0,209.0,17.0,45.45,5.0,17.98,491.42
708.0,9.0,8,2.0,6.72,0.0,3.56,9.0,25.68,14.0,46.72,4.0,10.89,7.0,19.01,112.58
712.0,9.0,56,3.0,29.05,16.0,50.79,66.0,190.67,49.0,133.1,72.0,213.46,3.0,29.05,646.12
729.0,9.0,16,2.0,10.03,3.0,11.67,13.0,35.01,33.0,119.17,2.0,10.03,-4.0,2.78,188.69
730.0,9.0,32,2.0,17.01,4.0,20.06,30.0,82.35,26.0,70.01,8.0,26.89,-12.0,2.72,219.04
731.0,9.0,13,0.0,5.78,2.0,8.75,7.0,18.88,8.0,21.37,11.0,29.75,2.0,8.75,93.28
738.0,9.0,25,1.0,12.48,1.0,12.48,19.0,50.88,30.0,87.11,8.0,24.34,-9.0,2.35,189.65
741.0,9.0,4,1.0,3.36,0.0,1.78,2.0,5.44,5.0,14.69,1.0,3.36,-3.0,0.03,28.67
748.0,9.0,29,3.0,17.2,7.0,23.91,55.0,190.53,62.0,228.11,21.0,56.1,14.0,38.31,554.16
756.0,9.0,21,2.0,12.19,4.0,15.43,29.0,88.05,32.0,100.76,9.0,25.19,11.0,29.76,271.38
