ID player,amplua,games,goals,assists,assists_2,throws_by,shot_on_target,blocked_throws,p_m
181,9.0,37,1.0,5.0,3.0,20.0,13.0,43.0,9.0
182,10.0,6,2.0,1.0,0.0,11.0,16.0,1.0,0.0
184,10.0,62,17.0,20.0,14.0,55.0,111.0,16.0,8.0
185,10.0,15,2.0,0.0,0.0,24.0,20.0,6.0,3.0
186,10.0,92,10.0,16.0,7.0,50.0,104.0,20.0,-15.0
187,10.0,54,5.0,13.0,0.0,48.0,71.0,14.0,-10.0
190,10.0,55,22.0,18.0,6.0,58.0,123.0,22.0,-18.0
191,9.0,58,3.0,2.0,4.0,84.0,52.0,90.0,-9.0
193,10.0,31,27.0,6.0,5.0,69.0,136.0,8.0,25.0
194,10.0,78,47.0,39.0,19.0,153.0,267.0,33.0,35.0
198,10.0,29,13.0,16.0,8.0,49.0,103.0,9.0,6.0
202,9.0,75,15.0,22.0,15.0,64.0,114.0,52.0,-13.0
203,10.0,76,29.0,20.0,7.0,86.0,137.0,36.0,-29.0
204,10.0,21,4.0,0.0,2.0,29.0,31.0,2.0,-8.0
206,10.0,1,0.0,0.0,0.0,0.0,1.0,0.0,-3.0
207,9.0,57,4.0,9.0,6.0,45.0,49.0,18.0,-22.0
208,10.0,91,71.0,36.0,15.0,239.0,431.0,24.0,22.0
209,10.0,54,18.0,13.0,7.0,52.0,117.0,13.0,12.0
210,9.0,9,0.0,2.0,0.0,10.0,4.0,5.0,-13.0
213,9.0,11,0.0,6.0,0.0,6.0,6.0,5.0,11.0
214,10.0,17,5.0,0.0,2.0,23.0,51.0,2.0,3.0
215,9.0,38,0.0,1.0,2.0,32.0,15.0,33.0,-11.0
216,9.0,24,2.0,0.0,0.0,27.0,31.0,19.0,-4.0
224,10.0,4,3.0,4.0,1.0,8.0,24.0,4.0,4.0
227,9.0,54,3.0,8.0,2.0,50.0,53.0,93.0,-38.0
228,10.0,77,20.0,14.0,3.0,100.0,123.0,6.0,-11.0
230,10.0,4,1.0,2.0,1.0,2.0,10.0,1.0,-5.0
231,10.0,25,4.0,5.0,3.0,34.0,47.0,8.0,-15.0
232,10.0,18,9.0,1.0,1.0,25.0,37.0,4.0,-10.0
234,10.0,15,13.0,3.0,0.0,27.0,59.0,1.0,-2.0
235,9.0,20,0.0,1.0,1.0,12.0,8.0,5.0,2.0
240,9.0,19,0.0,0.0,0.0,13.0,17.0,14.0,-8.0
242,9.0,20,4.0,1.0,2.0,19.0,25.0,14.0,-14.0
244,9.0,43,17.0,14.0,1.0,105.0,166.0,6.0,-23.0
245,10.0,20,0.0,7.0,1.0,17.0,29.0,2.0,-13.0
246,10.0,22,7.0,1.0,3.0,23.0,38.0,5.0,-5.0
247,10.0,24,2.0,2.0,2.0,25.0,32.0,2.0,-17.0
248,10.0,13,1.0,2.0,0.0,12.0,22.0,4.0,-18.0
251,10.0,8,4.0,2.0,0.0,16.0,25.0,8.0,-2.0
252,9.0,20,3.0,2.0,1.0,24.0,27.0,12.0,7.0
255,9.0,20,3.0,2.0,1.0,20.0,32.0,12.0,26.0
256,9.0,115,38.0,18.0,21.0,170.0,237.0,58.0,33.0
258,10.0,4,0.0,0.0,0.0,3.0,5.0,2.0,1.0
262,10.0,55,26.0,9.0,10.0,101.0,205.0,7.0,20.0
263,10.0,31,8.0,2.0,1.0,22.0,32.0,5.0,-6.0
264,9.0,13,0.0,0.0,0.0,13.0,6.0,6.0,-3.0
265,9.0,5,0.0,2.0,0.0,4.0,6.0,5.0,-2.0
269,10.0,2,1.0,1.0,0.0,3.0,3.0,0.0,0.0
272,10.0,20,9.0,5.0,5.0,37.0,56.0,9.0,4.0
273,9.0,11,1.0,1.0,0.0,10.0,12.0,6.0,10.0
274,10.0,73,5.0,6.0,6.0,76.0,100.0,53.0,-10.0
275,10.0,13,4.0,5.0,1.0,30.0,30.0,6.0,0.0
277,9.0,83,16.0,10.0,13.0,94.0,137.0,84.0,-34.0
281,10.0,89,8.0,12.0,1.0,53.0,60.0,42.0,-9.0
282,10.0,6,0.0,0.0,0.0,3.0,8.0,2.0,-4.0
283,9.0,13,3.0,1.0,0.0,18.0,21.0,3.0,2.0
285,10.0,17,2.0,3.0,0.0,14.0,21.0,2.0,-5.0
287,9.0,48,0.0,6.0,2.0,39.0,22.0,22.0,24.0
288,10.0,101,42.0,33.0,6.0,125.0,234.0,28.0,10.0
289,10.0,15,2.0,4.0,1.0,18.0,34.0,2.0,2.0
292,9.0,58,1.0,4.0,2.0,45.0,36.0,49.0,-42.0
294,9.0,87,5.0,11.0,5.0,115.0,108.0,123.0,-35.0
295,10.0,47,9.0,6.0,1.0,75.0,99.0,10.0,-48.0
298,10.0,81,19.0,18.0,9.0,101.0,183.0,20.0,-12.0
299,10.0,78,21.0,23.0,9.0,53.0,121.0,28.0,-36.0
301,9.0,1,0.0,0.0,1.0,1.0,2.0,1.0,1.0
302,10.0,66,9.0,12.0,6.0,57.0,115.0,4.0,-34.0
303,9.0,7,1.0,1.0,0.0,8.0,11.0,5.0,-3.0
305,10.0,45,20.0,16.0,1.0,46.0,115.0,16.0,-12.0
314,10.0,46,23.0,18.0,16.0,97.0,157.0,17.0,15.0
328,10.0,24,7.0,3.0,2.0,34.0,53.0,3.0,13.0
333,10.0,52,18.0,13.0,4.0,87.0,136.0,16.0,20.0
334,10.0,67,13.0,14.0,5.0,63.0,124.0,27.0,21.0
343,9.0,23,4.0,7.0,3.0,37.0,34.0,16.0,-4.0
346,10.0,2,0.0,0.0,0.0,1.0,1.0,0.0,-2.0
349,9.0,1,0.0,1.0,0.0,1.0,5.0,1.0,-1.0
350,10.0,10,10.0,5.0,1.0,32.0,49.0,3.0,1.0
351,9.0,3,0.0,1.0,0.0,3.0,1.0,1.0,-9.0
353,9.0,25,0.0,1.0,1.0,18.0,14.0,2.0,2.0
354,10.0,5,2.0,3.0,0.0,10.0,31.0,3.0,1.0
356,9.0,20,4.0,3.0,4.0,37.0,40.0,41.0,-4.0
360,10.0,59,10.0,8.0,3.0,52.0,103.0,11.0,-23.0
362,9.0,74,33.0,24.0,14.0,123.0,184.0,41.0,54.0
364,10.0,10,3.0,2.0,0.0,8.0,24.0,2.0,-2.0
365,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,10.0,71,24.0,16.0,7.0,80.0,142.0,5.0,-10.0
369,10.0,44,17.0,8.0,3.0,39.0,107.0,7.0,-14.0
370,9.0,8,0.0,0.0,0.0,1.0,4.0,3.0,0.0
372,9.0,55,3.0,3.0,1.0,25.0,14.0,54.0,9.0
374,9.0,11,4.0,1.0,1.0,14.0,18.0,2.0,7.0
375,9.0,73,31.0,18.0,4.0,119.0,188.0,33.0,24.0
376,10.0,6,1.0,0.0,1.0,6.0,9.0,0.0,-5.0
377,10.0,14,4.0,1.0,0.0,22.0,40.0,1.0,-4.0
378,10.0,86,19.0,21.0,8.0,192.0,245.0,21.0,-24.0
380,10.0,39,23.0,8.0,2.0,50.0,112.0,2.0,34.0
381,9.0,50,11.0,5.0,2.0,45.0,46.0,49.0,-13.0
385,9.0,18,3.0,2.0,2.0,26.0,25.0,19.0,0.0
387,10.0,80,30.0,31.0,12.0,130.0,210.0,11.0,-46.0
388,10.0,42,11.0,9.0,0.0,50.0,81.0,4.0,-21.0
390,10.0,13,3.0,4.0,0.0,22.0,22.0,5.0,-2.0
393,10.0,26,1.0,2.0,0.0,15.0,30.0,7.0,-22.0
397,9.0,67,10.0,13.0,4.0,75.0,104.0,42.0,17.0
399,9.0,92,21.0,11.0,10.0,104.0,166.0,49.0,-18.0
402,9.0,20,1.0,2.0,1.0,11.0,11.0,6.0,7.0
405,10.0,36,2.0,2.0,2.0,18.0,31.0,2.0,-14.0
406,10.0,73,25.0,14.0,9.0,98.0,191.0,13.0,6.0
407,9.0,23,3.0,2.0,0.0,23.0,34.0,14.0,16.0
408,10.0,9,1.0,1.0,0.0,11.0,12.0,1.0,-7.0
409,10.0,15,5.0,5.0,1.0,26.0,40.0,6.0,6.0
410,10.0,60,30.0,23.0,6.0,97.0,193.0,12.0,28.0
412,9.0,58,2.0,9.0,2.0,28.0,26.0,55.0,-7.0
415,10.0,118,28.0,30.0,14.0,95.0,203.0,29.0,28.0
418,10.0,12,3.0,1.0,0.0,19.0,27.0,6.0,-2.0
419,10.0,61,11.0,14.0,6.0,63.0,96.0,53.0,4.0
421,10.0,10,0.0,3.0,1.0,19.0,10.0,3.0,9.0
425,10.0,23,20.0,19.0,8.0,51.0,113.0,3.0,37.0
428,10.0,18,15.0,12.0,5.0,35.0,75.0,7.0,30.0
429,10.0,8,0.0,0.0,0.0,8.0,4.0,0.0,-4.0
430,10.0,5,1.0,0.0,0.0,5.0,2.0,3.0,-2.0
435,9.0,91,20.0,13.0,7.0,153.0,128.0,75.0,63.0
438,9.0,30,1.0,5.0,1.0,14.0,23.0,16.0,-22.0
443,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,9.0,26,1.0,3.0,1.0,31.0,38.0,32.0,2.0
445,10.0,47,11.0,7.0,3.0,74.0,132.0,24.0,-1.0
446,9.0,15,1.0,3.0,1.0,6.0,4.0,15.0,1.0
447,9.0,12,1.0,4.0,1.0,23.0,13.0,3.0,4.0
448,10.0,21,1.0,7.0,1.0,24.0,59.0,1.0,-15.0
450,9.0,30,0.0,4.0,1.0,46.0,51.0,41.0,-13.0
451,10.0,12,0.0,0.0,2.0,15.0,36.0,1.0,-17.0
452,9.0,38,2.0,2.0,0.0,33.0,27.0,29.0,6.0
453,10.0,11,3.0,4.0,1.0,9.0,21.0,2.0,10.0
454,9.0,30,17.0,6.0,4.0,82.0,144.0,15.0,17.0
456,9.0,70,5.0,16.0,5.0,80.0,95.0,78.0,41.0
459,10.0,3,1.0,4.0,0.0,0.0,4.0,0.0,1.0
460,10.0,81,7.0,16.0,3.0,60.0,104.0,32.0,1.0
461,10.0,17,3.0,2.0,0.0,11.0,34.0,4.0,-6.0
464,10.0,2,1.0,1.0,1.0,3.0,3.0,0.0,5.0
465,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,10.0,11,2.0,1.0,0.0,6.0,10.0,0.0,-12.0
467,10.0,50,21.0,13.0,2.0,73.0,112.0,11.0,-11.0
474,10.0,69,45.0,37.0,14.0,128.0,236.0,35.0,57.0
479,10.0,23,7.0,5.0,1.0,16.0,45.0,5.0,9.0
480,10.0,17,2.0,2.0,0.0,13.0,21.0,5.0,-3.0
482,10.0,21,1.0,2.0,1.0,10.0,10.0,7.0,4.0
485,10.0,25,11.0,3.0,2.0,48.0,91.0,18.0,-24.0
486,9.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0
487,10.0,87,60.0,18.0,4.0,172.0,335.0,23.0,-12.0
492,10.0,58,13.0,7.0,6.0,64.0,92.0,10.0,-20.0
494,9.0,5,0.0,0.0,0.0,4.0,2.0,3.0,-5.0
495,9.0,66,4.0,13.0,0.0,113.0,70.0,51.0,-37.0
496,9.0,62,2.0,1.0,8.0,98.0,76.0,47.0,-34.0
498,9.0,16,3.0,3.0,3.0,17.0,20.0,13.0,-6.0
499,10.0,65,24.0,15.0,6.0,69.0,159.0,27.0,-37.0
500,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
501,10.0,35,5.0,4.0,3.0,14.0,42.0,23.0,-51.0
505,9.0,5,0.0,0.0,0.0,4.0,7.0,4.0,0.0
506,9.0,1,0.0,0.0,0.0,0.0,1.0,0.0,-2.0
508,10.0,65,33.0,17.0,3.0,50.0,176.0,10.0,1.0
511,9.0,24,0.0,1.0,4.0,14.0,15.0,28.0,3.0
519,9.0,27,1.0,3.0,5.0,39.0,42.0,12.0,1.0
522,10.0,58,15.0,20.0,6.0,69.0,119.0,25.0,2.0
524,9.0,56,1.0,5.0,6.0,56.0,54.0,51.0,28.0
526,10.0,31,16.0,4.0,4.0,27.0,54.0,17.0,11.0
527,9.0,23,1.0,3.0,0.0,19.0,25.0,22.0,7.0
529,10.0,14,11.0,8.0,4.0,32.0,51.0,8.0,13.0
531,9.0,63,23.0,9.0,4.0,73.0,142.0,7.0,-14.0
535,9.0,6,1.0,1.0,0.0,11.0,5.0,3.0,1.0
536,10.0,40,20.0,18.0,5.0,63.0,131.0,18.0,-15.0
541,9.0,9,0.0,0.0,0.0,8.0,7.0,2.0,-8.0
