ID team,division
379,Division 1
191,Division 1
409,Division 1
335,Division 1
63,Division 1
506,Division 1
496,Division 1
111,Division 2
440,Division 2
109,Division 2
410,Division 2
443,Division 2
208,Division 2
12,Division 2
