ID;ID game;ID player;ID team;None;total time on ice;pucks;throws by;a shot on target;accurate transmission;interception;The face-off is won;face-off lost;blocked throws;ice exits
344;501;1153;58;;0;0;0;0;0;0;0;0;0;0
345;501;1459;58;;0;0;0;0;0;0;0;0;0;0
346;501;1166;58;;0;0;0;0;0;0;0;0;0;0
347;501;1148;58;;0;0;0;0;0;0;0;0;0;0
348;501;1165;58;;0;0;0;0;0;0;0;0;0;0
349;501;1157;58;;0;0;0;0;0;0;0;0;0;0
350;501;1434;64;;0;0;0;0;0;0;0;0;0;0
351;501;2920;64;;47;0;0;1;0;1;0;0;0;1
352;501;1355;64;;47;0;0;0;0;0;0;0;1;1
353;501;1455;64;;0;0;0;0;0;0;0;0;0;0
354;501;1437;64;;0;0;0;0;0;0;0;0;0;0
355;501;1444;64;;0;0;0;0;0;0;0;0;0;0
356;501;1449;64;;0;0;0;0;0;0;0;0;0;0
357;501;1443;64;;47;0;0;0;0;0;1;1;0;1
358;501;1448;64;;0;0;0;0;0;0;0;0;0;0
359;501;1438;64;;47;0;1;0;1;0;1;0;0;1
360;501;1445;64;;0;0;0;0;0;0;0;0;0;0
361;501;1474;64;;0;0;0;0;0;0;0;0;0;0
362;501;1496;64;;47;0;1;0;0;0;0;0;0;1
363;501;1472;64;;0;0;0;0;0;0;0;0;0;0
364;99;914;49;;0;0;0;0;0;0;0;0;0;0
365;99;915;49;;0;0;0;0;0;0;0;0;0;0
366;99;932;49;;0;0;0;0;0;0;0;0;0;0
367;99;920;49;;0;0;0;0;0;0;0;0;0;0
368;99;916;49;;0;0;0;0;0;0;0;0;0;0
369;99;202;49;;0;0;0;0;0;0;0;0;0;0
370;99;918;49;;0;0;0;0;0;0;0;0;0;0
371;99;924;49;;0;0;0;0;0;0;0;0;0;0
372;99;929;49;;0;0;0;0;0;0;0;0;0;0
373;99;922;49;;0;0;0;0;0;0;0;0;0;0
374;99;921;49;;0;0;0;0;0;0;0;0;0;0
375;99;926;49;;0;0;0;0;0;0;0;0;0;0
376;99;923;49;;0;0;0;0;0;0;0;0;0;0
377;99;1112;49;;0;0;0;0;0;0;0;0;0;0
378;99;927;49;;0;0;0;0;0;0;0;0;0;0
379;99;833;10;;0;0;0;0;0;0;0;0;0;NULL
380;99;169;10;;0;0;0;0;0;0;0;0;0;NULL
381;99;158;10;;0;0;0;0;0;0;0;0;0;NULL
382;99;162;10;;0;0;0;0;0;0;0;0;0;NULL
383;99;170;10;;0;0;0;0;0;0;0;0;0;NULL
384;99;977;10;;0;0;0;0;0;0;0;0;0;NULL
385;99;749;10;;0;0;0;0;0;0;0;0;0;NULL
386;99;393;10;;0;0;0;0;0;0;0;0;0;NULL
387;99;161;10;;0;0;0;0;0;0;0;0;0;NULL
388;99;168;10;;0;0;0;0;0;0;0;0;0;NULL
389;99;722;10;;0;0;0;0;0;0;0;0;0;NULL
390;99;976;10;;0;0;0;0;0;0;0;0;0;NULL
391;99;159;10;;0;0;0;0;0;0;0;0;0;NULL
392;99;155;10;;0;0;0;0;0;0;0;0;0;NULL
393;850;1434;64;;0;0;0;0;0;0;0;0;0;NULL
394;850;3063;64;;2;0;0;0;0;0;0;0;0;NULL
395;850;1452;64;;2;0;0;0;0;0;0;0;0;NULL
396;850;1455;64;;0;0;0;0;0;0;0;0;0;NULL
397;850;1450;64;;0;0;0;0;0;0;0;0;0;NULL
398;850;1437;64;;0;0;0;0;0;0;0;0;0;NULL
399;850;3066;64;;0;0;0;0;0;0;0;0;0;NULL
400;850;3062;64;;0;0;0;0;0;0;0;0;0;NULL
401;850;1443;64;;2;0;0;0;0;0;0;0;0;NULL
402;850;1510;64;;2;0;0;0;0;0;0;0;0;NULL
403;850;1511;64;;2;0;0;0;0;0;0;0;0;NULL
404;850;1448;64;;2;0;0;0;0;0;0;0;0;NULL
405;850;1445;64;;0;0;0;0;0;0;0;0;0;NULL
406;850;3064;64;;0;0;0;0;0;0;0;0;0;NULL
407;850;1439;64;;0;0;0;0;0;0;0;0;0;NULL
408;850;1454;64;;0;0;0;0;0;0;0;0;0;NULL
409;850;3065;64;;0;0;0;0;0;0;0;0;0;NULL
410;850;1126;138;;0;0;0;0;0;0;0;0;0;NULL
411;850;1288;138;;0;0;0;0;0;0;0;0;0;NULL
412;850;1283;138;;0;0;0;0;0;0;0;0;0;NULL
413;850;1284;138;;0;0;0;0;0;0;0;0;0;NULL
414;850;3060;138;;0;0;0;0;0;0;0;0;0;NULL
415;850;1559;138;;0;0;0;0;0;0;0;0;0;NULL
416;850;3056;138;;0;0;0;0;0;0;0;0;0;NULL
417;850;1302;138;;0;0;0;0;0;0;0;0;0;NULL
418;850;3057;138;;0;0;0;0;0;0;0;0;0;NULL
419;850;3059;138;;0;0;0;0;0;0;0;0;0;NULL
420;850;1269;138;;0;0;0;0;0;0;0;0;0;NULL
421;850;3058;138;;0;0;0;0;0;0;0;0;0;NULL
422;850;3055;138;;0;0;0;0;0;0;0;0;0;NULL
423;850;1558;138;;0;0;0;0;0;0;0;0;0;NULL
424;850;1278;138;;0;0;0;0;0;0;0;0;0;NULL
