ID player;skill;amplua
1;0;10
2;0;0
3;0;10
4;0;0
5;0;10
6;0;0
7;0;9
8;0;9
9;0;10
10;0;8
11;0;8
12;0;0
13;0;10
14;0;0
15;0;0
16;0;8
17;0;9
18;6;10
19;0;9
20;0;0
21;0;9
22;0;10
23;0;10
24;0;10
25;0;10
26;0;9
27;0;10
28;0;10
29;0;10
30;0;8
31;0;8
32;0;10
33;0;8
34;0;10
35;0;9
36;0;9
37;0;9
38;0;10
39;0;9
40;0;9
41;0;10
42;0;9
43;0;10
45;0;9
46;0;10
47;0;10
48;0;9
49;0;10
50;0;10
51;0;9
52;0;9
53;0;9
54;0;9
55;0;8
56;0;10
57;0;10
58;0;10
59;0;10
60;0;9
61;0;9
62;0;9
63;0;10
64;0;10
65;0;9
66;0;9
67;0;8
68;0;10
69;0;10
70;0;9
71;0;8
72;0;10
73;0;10
74;0;9
75;0;10
76;0;9
77;0;10
78;0;10
79;0;9
80;0;10
81;0;10
82;0;10
83;0;10
84;0;8
85;0;10
86;0;9
87;0;10
88;0;10
89;0;9
90;0;9
91;0;10
92;0;9
93;0;10
94;0;9
95;0;10
96;0;10
97;0;10
98;0;10
99;0;9
100;0;9
101;0;9
102;0;8
103;0;9
104;0;9
105;0;10
106;0;10
107;0;9
7567;0;10
109;0;8
110;0;10
111;0;9
1378;0;0
113;0;8
114;0;10
115;0;10
116;0;9
117;0;10
118;0;9
119;0;9
120;0;10
121;0;10
122;0;10
123;0;9
124;0;9
125;0;10
126;0;9
127;0;9
128;0;10
129;0;9
130;0;9
131;0;9
132;0;8
133;0;8
134;0;10
135;0;10
136;0;10
137;0;10
138;0;9
139;0;10
140;0;10
4562;0;10
142;0;10
143;0;9
10037;0;10
145;0;10
146;0;9
147;0;10
148;0;10
149;0;10
150;0;10
151;0;10
152;0;10
153;0;10
154;0;8
155;0;10
156;0;10
157;0;10
158;0;9
159;0;9
160;0;10
161;0;10
162;0;9
163;0;10
164;0;10
165;0;10
166;0;9
167;0;9
168;0;10
169;0;9
170;0;9
171;0;8
172;0;10
173;0;10
174;11;10
175;0;10
176;0;10
177;0;10
178;0;8
179;0;10
180;0;10
181;0;9
182;9;10
183;0;9
184;0;10
185;0;10
186;0;10
187;0;10
188;11;8
189;0;9
190;11;10
191;0;9
192;0;9
193;0;10
194;0;10
195;0;8
1502;0;8
197;0;10
198;0;10
199;0;10
201;0;10
202;0;9
203;0;10
204;0;10
205;0;8
206;0;10
207;0;9
208;0;10
209;0;10
210;0;9
211;0;8
212;0;9
213;0;9
214;0;10
215;0;9
216;0;9
217;0;8
218;0;0
220;0;10
221;0;10
222;0;8
223;0;10
224;0;10
225;0;10
226;0;8
227;0;9
228;0;10
229;0;8
230;0;10
231;0;10
232;0;10
233;0;9
234;0;10
235;0;9
236;0;10
237;0;9
238;0;10
239;0;10
240;0;9
242;0;9
243;0;10
244;0;9
245;0;10
246;0;10
247;0;10
248;7;10
249;0;9
250;0;9
251;0;10
252;0;9
253;0;8
254;0;0
255;0;9
256;11;9
257;0;0
258;0;10
259;0;0
260;0;10
261;0;0
262;0;10
263;0;10
264;0;10
265;0;9
266;0;10
267;0;0
268;0;8
269;0;9
270;0;10
6229;0;10
272;0;10
273;0;9
274;0;10
275;0;10
276;0;9
277;0;9
278;0;0
279;0;0
280;0;10
281;0;10
282;0;10
283;0;9
284;0;8
285;0;10
286;0;9
287;0;9
288;0;10
289;0;10
290;0;9
291;0;8
292;0;9
293;0;10
294;11;9
295;0;10
296;2;8
297;0;9
298;0;10
299;0;10
300;7;10
301;0;9
302;11;10
303;0;9
304;0;10
305;0;10
306;0;8
307;0;9
308;0;10
309;7;10
310;0;9
311;7;10
312;0;10
313;0;10
314;7;10
315;0;10
316;0;9
317;0;9
318;0;10
319;0;0
320;0;8
321;0;9
322;0;10
323;0;9
324;0;9
325;0;9
326;0;10
327;0;10
328;0;10
329;0;10
330;0;10
331;0;9
332;0;10
333;0;10
334;0;10
335;0;10
336;0;10
337;0;9
338;0;8
339;0;8
340;0;0
341;0;10
6210;0;10
343;0;9
344;0;8
345;0;10
346;0;10
347;0;10
348;0;10
349;0;9
350;0;10
351;0;9
352;0;10
353;0;9
354;6;10
355;0;9
356;0;9
357;0;10
358;0;9
359;0;9
360;0;10
361;0;8
362;14;9
363;0;10
364;0;10
365;0;8
366;0;10
367;0;10
368;0;8
369;0;10
370;0;9
371;0;10
372;0;9
373;0;10
374;0;9
375;0;10
376;11;10
377;0;10
378;0;10
379;0;10
380;0;10
381;0;9
382;0;10
383;0;8
384;0;8
385;0;9
386;0;9
387;0;10
388;0;10
389;0;0
390;0;10
391;0;10
392;0;0
393;0;10
394;0;9
395;0;8
396;0;9
397;0;9
398;0;9
399;0;9
400;0;10
401;0;10
402;0;9
403;0;9
404;0;10
405;0;10
406;0;10
407;0;9
408;0;10
409;0;10
410;0;10
411;0;10
412;0;9
413;0;10
414;3;10
415;0;10
416;0;8
417;0;10
418;0;10
419;0;10
420;0;10
421;0;10
422;0;10
423;0;9
424;0;10
425;0;10
426;0;10
427;0;9
428;0;10
429;0;10
430;0;9
431;0;10
432;0;8
433;0;9
434;0;10
435;0;9
436;0;9
437;0;10
438;0;9
439;2;10
440;0;9
441;0;10
442;0;8
443;0;10
444;0;9
445;0;10
446;0;9
447;0;9
448;0;10
449;0;10
450;0;9
451;0;10
452;0;9
453;0;10
454;0;9
455;0;8
456;0;9
457;0;10
458;0;10
459;0;10
460;0;10
461;0;10
462;0;10
463;0;8
464;0;10
465;0;10
466;0;10
467;0;10
468;0;9
469;0;10
470;0;10
471;0;10
472;0;10
473;0;9
474;0;10
475;0;8
476;0;9
477;0;10
478;0;10
479;0;10
480;0;10
481;0;9
482;0;10
483;0;10
484;0;10
485;0;10
486;0;9
487;0;10
4593;0;9
489;0;9
490;0;8
5288;0;9
492;0;10
494;0;9
495;0;9
496;0;9
6503;1;10
498;0;9
499;0;10
500;0;10
501;11;10
502;0;10
5527;0;10
504;0;10
505;0;9
506;0;9
507;0;10
508;0;10
509;7;8
510;0;10
511;0;9
512;0;10
2486;0;10
514;0;9
515;0;9
516;0;9
517;0;10
518;0;10
519;0;9
520;11;8
521;0;10
522;0;10
523;0;10
524;0;9
525;0;9
526;0;10
527;0;9
528;0;10
529;0;10
530;0;8
531;0;9
532;0;9
533;0;10
534;0;9
535;0;9
536;0;10
537;0;10
538;0;9
539;0;8
540;0;10
541;0;9
542;0;10
543;0;10
544;0;9
545;0;10
546;0;9
547;0;9
548;0;10
549;0;10
550;0;10
551;8;10
552;0;10
553;0;9
554;0;9
555;0;10
556;0;9
557;0;10
558;0;8
559;0;9
560;0;10
561;0;10
562;0;10
563;0;10
564;0;9
565;0;10
566;0;9
567;0;10
568;0;9
569;0;8
570;0;10
571;0;9
572;0;10
573;0;8
574;0;9
575;0;8
577;0;9
578;0;10
579;0;0
580;0;9
581;0;9
582;0;10
583;0;10
585;0;10
586;0;0
587;0;9
588;0;10
589;0;9
590;0;9
591;0;10
592;0;9
593;0;9
594;0;10
595;0;10
596;0;8
597;0;10
598;0;9
599;0;8
600;0;9
601;0;10
602;0;9
603;0;10
604;0;9
605;0;10
606;0;9
607;1;8
608;0;10
609;0;10
610;0;10
611;0;9
612;0;8
613;0;0
614;0;10
615;0;10
616;0;9
617;0;8
618;0;9
619;0;9
620;0;10
621;1;9
622;0;10
623;0;9
624;0;10
625;0;10
626;0;9
627;0;10
628;0;9
629;0;10
630;0;10
631;0;8
632;0;9
633;0;9
634;0;9
635;0;10
636;0;9
637;0;9
638;0;10
