ID team,division
31,Division 1
442,Division 1
17,Division 1
29,Division 1
49,Division 1
333,Division 1
56,Division 1
1,Division 1
35,Division 2
452,Division 2
15,Division 2
12,Division 2
396,Division 2
447,Division 2
46,Division 2
92,Division 2
