ID team,PL_RATING
187,9117.02
580,9102.07
111,9053.16
573,8712.60
131,8578.41
555,8557.90
63,8514.67
17,8417.92
556,8402.22
564,8030.95
505,7955.87
239,7952.33
29,7789.89
578,7766.52
1,7759.86
494,7671.41
408,7669.03
506,7555.50
46,7490.10
409,7415.23
333,7352.24
452,7232.72
442,7205.70
579,7175.21
48,6717.70
393,6592.65
441,6460.29
56,6425.27
92,6411.42
335,6214.46
211,6208.77
31,6029.71
24,5903.73
496,5860.54
379,5804.31
49,5740.59
447,5714.20
191,5661.36
498,5584.28
443,5577.00
35,5563.65
410,5520.92
53,5496.49
4,5466.38
12,5430.53
15,5364.93
440,5174.16
396,5110.62
497,5067.41
567,4973.26
402,4912.68
565,4862.94
438,4861.75
450,4781.20
399,4708.80
493,4703.06
23,4660.52
44,4612.30
397,4489.79
336,4413.97
22,4408.71
208,4335.84
329,4322.52
200,4223.93
490,4168.38
138,4104.69
403,3998.15
269,3941.66
569,3792.02
109,3691.92
205,3655.48
207,3614.47
214,3489.23
129,3448.61
8,3388.36
26,3322.93
64,3292.64
189,3209.56
38,3125.61
407,3098.16
491,2952.96
404,2895.61
581,2732.73
54,2728.40
446,2395.80
406,2176.85
568,2088.06
132,1899.38
332,1808.16
448,1763.55
502,1697.39
566,1690.58
110,1590.12
65,1567.83
405,1374.54
546,1274.12
577,1068.96
331,971.99
532,939.17
500,850.42
582,800.52
570,765.50
504,747.04
439,653.81
130,638.75
375,468.71
398,369.40
431,312.13
215,308.19
544,223.68
216,181.84
411,155.35
501,0.00
104,0.00
245,0.00
401,0.00
449,0.00
545,0.00
451,0.00
453,0.00
489,0.00
176,-60.75
400,-128.27
499,-137.81
61,-224.52
574,-282.27
445,-581.80
