ID team,ID player,division
1,6066.0,0
1,4342.0,0
1,8941.0,0
1,1.0,0
1,883.0,0
1,6080.0,0
1,2858.0,0
1,3627.0,0
1,7564.0,0
1,2484.0,0
1,5646.0,0
1,294.0,0
1,10333.0,0
1,7472.0,0
4,5070.0,0
4,190.0,0
4,3781.0,0
4,807.0,0
4,1004.0,0
4,501.0,0
4,5084.0,0
4,124.0,0
4,10397.0,0
4,5113.0,0
4,1000.0,0
4,998.0,0
8,7710.0,3
8,1140.0,3
8,10304.0,3
8,4237.0,3
8,2753.0,3
8,8695.0,3
8,1144.0,3
8,8775.0,3
8,1146.0,3
8,6756.0,3
8,3846.0,3
8,3969.0,3
8,8774.0,3
8,1557.0,3
8,1395.0,3
8,5473.0,3
8,1133.0,3
12,1102.0,0
12,9860.0,0
12,3.0,0
12,79.0,0
12,2309.0,0
12,8037.0,0
12,840.0,0
12,545.0,0
12,63.0,0
12,2862.0,0
12,2450.0,0
12,6145.0,0
15,8365.0,1
15,4312.0,1
15,7826.0,1
15,8364.0,1
15,2353.0,1
15,6524.0,1
15,681.0,1
15,121.0,1
15,6044.0,1
15,6219.0,1
15,6538.0,1
15,4226.0,1
15,764.0,1
17,5069.0,0
17,8000.0,0
17,953.0,0
17,3079.0,0
17,8758.0,0
17,3277.0,0
17,7601.0,0
17,3076.0,0
17,186.0,0
17,976.0,0
17,4544.0,0
17,7598.0,0
17,412.0,0
17,2267.0,0
17,997.0,0
22,2474.0,2
22,5217.0,2
22,8914.0,2
22,6087.0,2
22,8482.0,2
22,110.0,2
22,1339.0,2
22,1523.0,2
22,6272.0,2
22,1341.0,2
22,4576.0,2
22,1521.0,2
22,1338.0,2
22,4435.0,2
23,2559.0,2
23,10328.0,2
23,5525.0,2
23,4228.0,2
23,1550.0,2
23,2908.0,2
23,876.0,2
23,934.0,2
23,2203.0,2
23,2278.0,2
23,3071.0,2
23,4184.0,2
23,6291.0,2
23,2824.0,2
24,2309.0,2
24,519.0,2
24,747.0,2
24,10184.0,2
24,10230.0,2
24,10186.0,2
24,6199.0,2
24,246.0,2
24,5621.0,2
24,10187.0,2
24,4372.0,2
24,2502.0,2
24,1095.0,2
24,7920.0,2
24,4492.0,2
24,10185.0,2
24,3954.0,2
26,2466.0,3
26,4500.0,3
26,4502.0,3
26,4499.0,3
26,5641.0,3
26,2472.0,3
26,6197.0,3
26,6532.0,3
26,9322.0,3
26,5797.0,3
26,4495.0,3
26,2464.0,3
26,2799.0,3
26,10398.0,3
26,7104.0,3
26,2549.0,3
26,2460.0,3
29,673.0,0
29,2770.0,0
29,8084.0,0
29,6904.0,0
29,3225.0,0
29,4525.0,0
29,672.0,0
29,671.0,0
29,6263.0,0
29,675.0,0
29,3215.0,0
29,5748.0,0
29,3216.0,0
29,6903.0,0
31,4489.0,1
31,22.0,1
31,281.0,1
31,4880.0,1
31,6033.0,1
31,1116.0,1
31,4485.0,1
31,648.0,1
31,482.0,1
31,1229.0,1
31,693.0,1
