ID player,integral_dev
10.00,87.75
13.00,-6.45
16.00,66.30
55.00,-166.35
71.00,-19.95
102.00,54.00
109.00,66.15
154.00,14.10
178.00,67.95
195.00,-51.00
217.00,-57.75
222.00,49.05
291.00,-9.60
306.00,9.30
339.00,62.10
397.00,-114.45
416.00,61.35
442.00,57.45
490.00,34.50
520.00,117.45
530.00,48.60
569.00,-17.10
573.00,42.15
599.00,-81.90
631.00,109.20
656.00,-35.85
667.00,-92.70
668.00,-34.20
673.00,86.40
740.00,83.40
743.00,-39.45
754.00,-3.60
769.00,-190.95
806.00,-281.25
908.00,66.45
938.00,67.65
979.00,-44.40
995.00,62.55
997.00,75.75
998.00,2.70
1046.00,57.90
1060.00,-33.60
1126.00,28.05
1176.00,-66.30
1194.00,24.45
1201.00,44.85
1202.00,-366.30
1266.00,-13.65
1296.00,91.65
1308.00,11.55
1311.00,-7.20
1312.00,184.50
1331.00,-15.60
1340.00,-36.45
1365.00,51.00
1376.00,-12.15
1407.00,-6.45
1435.00,-80.85
1502.00,-62.40
1517.00,60.75
1534.00,-1.95
1557.00,39.60
1598.00,-37.65
1619.00,-9.90
2056.00,-2.40
2213.00,-89.70
2248.00,103.20
2309.00,26.25
2312.00,-15.45
2334.00,74.25
2353.00,109.95
2417.00,187.65
2437.00,-81.00
2438.00,60.15
2458.00,68.25
2459.00,38.55
2478.00,93.30
2559.00,43.50
2764.00,41.25
2848.00,90.60
3072.00,6.00
3075.00,13.50
3165.00,81.30
3211.00,-148.65
3273.00,-28.95
3428.00,5.55
3430.00,49.05
3463.00,154.20
3590.00,-142.80
3676.00,119.40
3717.00,28.80
3977.00,-227.55
4105.00,156.15
4182.00,31.20
4192.00,-176.70
4209.00,-5.85
4235.00,281.40
4246.00,43.65
4247.00,6.30
4256.00,-30.00
4257.00,56.70
4294.00,49.05
4300.00,-68.70
4339.00,-21.60
4360.00,65.70
4372.00,48.90
4391.00,149.40
4410.00,-114.60
4435.00,28.05
4482.00,-8.85
4494.00,56.40
4505.00,-23.55
4524.00,121.20
4545.00,-4.95
4565.00,-88.95
4603.00,23.10
4710.00,17.40
4888.00,-9.75
4933.00,102.15
4955.00,3.15
5019.00,-71.85
5090.00,-62.25
5096.00,27.15
5121.00,-13.95
5123.00,15.15
5212.00,-33.75
5219.00,-16.80
5464.00,64.50
5498.00,-139.20
5509.00,45.45
5516.00,55.50
5536.00,65.25
5561.00,-93.15
5581.00,20.10
5639.00,69.00
5685.00,-123.00
5691.00,59.10
5694.00,39.15
5695.00,21.15
5717.00,29.85
5718.00,-30.00
5723.00,16.65
5736.00,7.35
5751.00,4.35
5769.00,-13.80
5771.00,-61.50
5773.00,-26.25
5774.00,-33.30
5779.00,-13.65
5873.00,48.30
6040.00,-234.00
6045.00,-118.35
6055.00,173.40
6068.00,21.45
6077.00,-34.50
6097.00,152.55
6140.00,-187.80
6187.00,-3.60
6246.00,-25.80
6265.00,-34.35
6280.00,-28.50
6325.00,-12.15
6431.00,-33.00
6488.00,81.15
6584.00,-23.10
6599.00,72.75
6600.00,44.55
6605.00,88.20
6640.00,23.70
6871.00,102.00
6923.00,-42.15
6969.00,-151.80
6994.00,-22.95
7047.00,-87.45
7064.00,-7.65
7144.00,61.20
7157.00,56.70
7208.00,154.35
7222.00,28.05
7381.00,-238.20
7472.00,61.65
7519.00,10.80
7542.00,78.45
7618.00,-50.10
7620.00,-31.80
7625.00,43.05
7716.00,-246.45
7752.00,-57.75
7768.00,-293.25
7801.00,-211.20
7809.00,-70.35
7816.00,-29.55
7821.00,90.60
7837.00,-10.50
7850.00,-9.15
7851.00,4.65
7883.00,-219.90
7890.00,-3.60
7923.00,77.70
7924.00,77.85
7934.00,-234.30
7966.00,-41.85
7970.00,25.20
7978.00,-17.40
7979.00,-76.05
8010.00,123.15
8012.00,7.20
8020.00,72.75
8040.00,110.85
8043.00,-308.40
8048.00,-105.90
8116.00,-6.00
8290.00,-33.00
8318.00,-81.00
8360.00,-133.20
8367.00,-74.85
8372.00,-223.65
8403.00,101.55
8407.00,53.85
8431.00,11.25
8579.00,107.55
8634.00,0.90
8668.00,38.55
8669.00,56.55
8709.00,59.70
8725.00,-49.50
8726.00,-3.60
8728.00,200.25
8812.00,-281.25
8820.00,99.15
8829.00,94.35
8887.00,67.80
8905.00,-94.35
8932.00,-27.60
8945.00,-25.65
8952.00,124.20
8959.00,47.70
9322.00,-6.15
9341.00,87.90
9364.00,100.05
9601.00,51.15
9673.00,-2.40
9693.00,-74.85
9789.00,-127.95
9866.00,25.35
10063.00,95.40
10093.00,58.65
10107.00,-64.05
10132.00,10.05
10151.00,153.15
10174.00,66.15
10179.00,-74.85
10193.00,-6.15
10220.00,149.40
10238.00,35.40
10239.00,-312.30
10245.00,-15.60
10247.00,33.45
10359.00,-112.35
10389.00,169.95
10403.00,48.00
10406.00,-156.15
10415.00,-74.85
10416.00,46.50
10419.00,17.55
10425.00,-25.35
10435.00,-8.85
10502.00,154.20
