ID player,amplua,time,G,As,As_2,TB,Shot,BT,pm
180,10.00,14.25,0.15,0.33,0.09,1.88,1.55,0.61,0.63
181,9.00,14.80,0.03,0.14,0.08,0.54,0.35,1.16,0.36
182,10.00,10.65,0.33,0.17,0.00,1.83,2.67,0.17,0.00
184,10.00,13.43,0.33,0.33,0.21,0.79,1.98,0.21,0.14
185,10.00,19.09,0.13,0.00,0.00,1.60,1.33,0.40,0.23
186,10.00,10.40,0.13,0.17,0.08,0.54,1.17,0.17,-0.30
187,10.00,11.89,0.10,0.26,0.00,0.92,1.38,0.26,-0.06
190,10.00,16.86,0.42,0.35,0.12,1.02,2.27,0.42,-0.32
191,9.00,15.21,0.04,0.04,0.04,1.48,0.80,1.15,-0.16
193,10.00,18.90,1.17,0.28,0.22,2.50,5.44,0.17,0.94
194,10.00,19.82,0.63,0.58,0.27,1.90,3.53,0.41,0.65
198,10.00,17.51,0.57,0.43,0.43,2.29,4.86,0.43,0.67
202,9.00,19.34,0.20,0.24,0.16,0.98,1.55,0.76,-0.17
203,10.00,16.33,0.36,0.28,0.07,1.19,1.90,0.48,-0.30
204,10.00,14.84,0.19,0.00,0.10,1.38,1.48,0.10,-0.57
206,10.00,16.88,0.00,0.00,0.00,0.00,1.00,0.00,-3.00
207,9.00,18.47,0.05,0.14,0.09,0.89,0.98,0.27,-0.32
208,10.00,17.87,0.83,0.37,0.16,2.65,5.00,0.30,0.35
209,10.00,12.64,0.26,0.24,0.05,1.13,2.55,0.18,-0.14
210,9.00,22.92,0.00,0.33,0.00,1.33,0.33,0.50,-0.83
213,9.00,17.75,0.00,0.55,0.00,0.55,0.55,0.45,1.22
214,10.00,12.17,0.29,0.00,0.12,1.35,3.00,0.12,0.21
215,9.00,14.88,0.00,0.05,0.10,0.95,0.67,0.95,-0.25
216,9.00,15.32,0.08,0.00,0.00,1.12,1.29,0.79,-0.24
224,10.00,18.23,0.75,1.00,0.25,2.00,6.00,1.00,1.00
227,9.00,19.56,0.07,0.17,0.05,1.00,0.90,1.71,-0.79
228,10.00,10.95,0.22,0.18,0.05,1.17,1.55,0.09,-0.15
230,10.00,16.93,0.25,0.50,0.25,0.50,2.50,0.25,-1.25
231,10.00,18.00,0.16,0.20,0.12,1.36,1.88,0.32,-0.75
232,10.00,11.42,0.00,0.00,0.33,1.33,1.00,0.67,-1.67
234,10.00,13.75,0.87,0.20,0.00,1.80,3.93,0.07,-0.14
235,9.00,11.54,0.00,0.05,0.05,0.60,0.40,0.25,0.18
240,9.00,15.39,0.00,0.00,0.00,1.75,0.25,0.75,-1.33
242,9.00,15.76,0.00,0.00,0.00,1.25,1.00,1.00,-1.50
244,9.00,16.14,0.50,0.25,0.00,2.75,3.86,0.21,-0.48
245,10.00,12.78,0.00,0.25,0.00,1.75,1.75,0.00,-1.50
246,10.00,11.03,0.44,0.00,0.11,1.22,1.33,0.33,-0.33
247,10.00,9.16,0.08,0.08,0.08,1.04,1.33,0.08,-1.00
248,10.00,14.76,0.00,0.25,0.00,0.88,1.75,0.38,-2.17
251,10.00,16.57,0.50,0.25,0.00,2.00,3.12,1.00,-0.25
252,9.00,15.64,0.15,0.10,0.05,1.20,1.35,0.60,0.44
255,9.00,14.12,0.00,0.00,0.00,1.25,1.75,0.25,2.67
256,9.00,18.89,0.38,0.19,0.23,1.63,2.15,0.55,0.58
258,10.00,23.75,0.00,0.00,0.00,2.00,3.00,1.00,2.00
262,10.00,13.57,0.57,0.23,0.25,1.98,3.88,0.12,0.70
263,10.00,12.22,0.26,0.06,0.03,0.71,1.03,0.16,-0.29
264,9.00,10.46,0.00,0.00,0.00,0.75,0.75,0.25,0.00
265,9.00,13.88,0.00,0.40,0.00,0.80,1.20,1.00,-0.67
269,10.00,13.86,0.50,0.50,0.00,1.50,1.50,0.00,0.00
272,10.00,15.48,0.67,0.33,0.00,1.56,3.67,0.78,1.29
273,9.00,22.12,0.09,0.09,0.00,0.91,1.09,0.55,0.91
274,10.00,16.97,0.08,0.10,0.08,1.12,1.23,0.80,-0.15
277,9.00,18.45,0.23,0.12,0.19,1.23,1.86,1.02,-0.33
281,10.00,11.93,0.11,0.12,0.01,0.57,0.65,0.47,-0.07
282,10.00,12.46,0.00,0.00,0.00,0.50,1.33,0.33,-1.00
283,9.00,18.02,0.23,0.08,0.00,1.38,1.62,0.23,0.17
285,10.00,9.47,0.10,0.30,0.00,0.50,1.20,0.00,-0.29
287,9.00,14.95,0.00,0.11,0.05,0.80,0.43,0.48,0.62
288,10.00,14.61,0.40,0.33,0.06,1.26,2.32,0.30,0.17
289,10.00,17.52,0.13,0.27,0.07,1.20,2.27,0.13,0.17
292,9.00,13.91,0.00,0.09,0.04,0.66,0.60,0.85,-0.93
294,9.00,22.16,0.07,0.15,0.05,1.24,1.26,1.35,-0.49
