ID team,ID player,division,player_rating
29,10226.00,0,886.45
452,10226.00,0,886.45
15,11821.00,0,884.72
15,11762.00,0,874.53
29,10248.00,0,856.07
452,10248.00,0,856.07
660,10772.00,0,832.29
573,10486.00,0,830.26
660,10766.00,0,826.80
214,11815.00,0,826.37
15,11763.00,0,825.96
660,10776.00,0,812.15
660,10759.00,0,805.97
564,3228.00,0,798.70
447,4235.00,0,781.40
214,11824.00,0,777.60
564,10884.00,0,775.99
660,10779.00,0,774.97
660,10771.00,0,768.77
660,10770.00,0,766.48
15,11826.00,0,766.23
660,10761.00,0,752.73
15,4963.00,0,752.06
214,11823.00,0,751.54
15,11761.00,0,739.54
214,8100.00,0,719.29
656,10646.00,0,718.44
214,3476.00,0,713.60
660,10775.00,0,705.33
660,10763.00,0,702.30
17,3079.00,0,692.48
614,11214.00,0,686.48
505,3780.00,0,686.16
505,892.00,0,683.56
657,11614.00,0,678.74
29,10236.00,0,678.10
17,7598.00,0,672.50
15,10249.00,0,670.69
17,2267.00,0,670.51
555,2267.00,0,670.51
660,10767.00,0,664.17
555,3473.00,0,663.69
63,6266.00,0,656.05
1,3463.00,0,654.20
15,3481.00,0,648.67
17,3481.00,0,648.67
442,5886.00,0,648.67
17,953.00,0,647.51
555,953.00,0,647.51
131,700.00,0,639.65
506,700.00,0,639.65
660,11579.00,0,638.18
656,10648.00,0,635.93
578,2757.00,0,632.85
660,11283.00,0,629.79
29,3952.00,0,624.16
656,10645.00,0,623.95
556,193.00,0,623.87
573,10464.00,0,621.60
614,11224.00,0,621.58
17,8000.00,0,619.24
556,9851.00,0,619.16
1,883.00,0,617.69
63,520.00,0,617.45
131,520.00,0,617.45
239,6813.00,0,616.37
239,7828.00,0,615.00
1,1116.00,0,612.44
56,1116.00,0,612.44
1,8180.00,0,611.85
447,4106.00,0,611.37
573,10484.00,0,611.15
111,2353.00,0,609.95
15,11765.00,0,609.56
614,11227.00,0,607.09
657,11626.00,0,606.99
580,5079.00,0,605.35
578,10370.00,0,605.05
239,8025.00,0,604.84
29,5748.00,0,604.32
239,7153.00,0,603.42
573,10237.00,0,603.40
614,11225.00,0,602.85
573,10478.00,0,602.71
656,11261.00,0,601.91
442,7854.00,0,601.28
573,10466.00,0,600.37
555,39.00,0,599.92
578,2266.00,0,599.19
1,4342.00,0,599.07
29,8084.00,0,598.54
452,8084.00,0,598.54
578,10368.00,0,598.37
452,7607.00,0,598.07
92,2071.00,0,596.90
239,6216.00,0,595.90
239,4635.00,0,595.37
443,1713.00,0,594.49
614,11228.00,0,594.46
573,10477.00,0,594.28
92,2478.00,0,593.30
564,2478.00,0,593.30
656,9413.00,0,593.25
29,7821.00,0,590.60
452,7821.00,0,590.60
573,10470.00,0,588.91
443,10542.00,0,588.60
505,9341.00,0,587.90
17,8758.00,0,586.50
63,6423.00,0,586.41
63,5261.00,0,585.50
131,5261.00,0,585.50
506,5261.00,0,585.50
214,3237.00,0,585.14
657,11612.00,0,584.72
56,5511.00,0,584.21
578,10364.00,0,583.20
556,3077.00,0,582.42
56,982.00,0,582.00
452,8937.00,0,578.54
443,6496.00,0,578.40
29,10227.00,0,578.18
56,1121.00,0,577.72
111,194.00,0,575.37
49,2194.00,0,575.01
555,3688.00,0,574.61
505,3466.00,0,574.60
656,10649.00,0,574.54
443,2282.00,0,573.97
333,6599.00,0,572.75
29,680.00,0,572.56
29,3230.00,0,571.86
442,7857.00,0,571.72
656,10641.00,0,571.45
15,5069.00,0,570.72
17,5069.00,0,570.72
239,456.00,0,570.68
56,7818.00,0,568.81
443,5134.00,0,568.35
578,5441.00,0,567.01
578,973.00,0,566.32
131,7599.00,0,566.29
573,10481.00,0,566.20
656,10638.00,0,566.07
131,7124.00,0,565.15
580,6523.00,0,564.99
49,7200.00,0,564.19
399,7045.00,0,564.02
49,208.00,0,564.00
