ID player,integral_dev
1.00,-45.09
3.00,-159.32
8.00,34.12
10.00,126.20
10.00,-54.79
13.00,42.80
17.00,23.82
18.00,78.51
19.00,-42.85
21.00,-119.00
22.00,-1.86
24.00,-103.71
25.00,-27.16
26.00,-27.97
35.00,-45.57
37.00,-84.92
39.00,96.91
40.00,51.48
47.00,-130.30
49.00,-87.00
51.00,2.90
53.00,29.82
55.00,-174.18
55.00,-180.69
62.00,-25.44
63.00,-151.39
64.00,-51.70
66.00,-34.66
74.00,49.01
79.00,-4.47
83.00,8.82
87.00,-29.30
92.00,-4.68
95.00,-10.68
104.00,-9.87
107.00,17.79
110.00,-11.50
114.00,-7.75
115.00,-35.46
116.00,51.02
117.00,43.98
118.00,-22.27
120.00,127.85
121.00,-50.36
124.00,21.20
125.00,-17.47
126.00,56.19
139.00,54.48
142.00,16.17
148.00,92.68
149.00,-179.08
150.00,-64.84
151.00,-33.00
155.00,-20.69
156.00,-41.47
157.00,31.47
158.00,-29.85
159.00,6.99
160.00,-67.02
161.00,66.99
162.00,-45.29
164.00,46.68
167.00,-128.86
168.00,17.20
169.00,10.16
170.00,-75.96
172.00,-37.82
174.00,11.63
175.00,2.05
176.00,-20.32
180.00,42.05
181.00,29.52
182.00,18.48
184.00,-14.22
185.00,63.11
186.00,-22.97
187.00,1.83
190.00,-35.89
191.00,4.32
193.00,129.87
194.00,91.03
202.00,22.57
203.00,-15.23
204.00,-67.73
206.00,-266.28
207.00,-0.93
208.00,65.52
209.00,6.19
210.00,-44.81
213.00,98.88
214.00,73.14
215.00,-11.57
216.00,2.20
224.00,169.46
227.00,-58.34
228.00,5.14
230.00,-82.24
231.00,-53.52
234.00,68.12
235.00,-1.34
244.00,26.51
246.00,-143.70
247.00,-78.43
251.00,-40.72
252.00,120.72
256.00,95.26
262.00,77.28
263.00,-34.99
269.00,67.96
272.00,140.44
273.00,55.80
274.00,-6.23
277.00,10.54
281.00,-13.69
282.00,-105.86
283.00,13.96
285.00,11.05
287.00,25.31
288.00,34.40
289.00,14.46
292.00,-38.68
294.00,-22.49
295.00,-115.92
298.00,-40.64
299.00,-4.64
302.00,-52.24
303.00,6.64
305.00,-15.72
314.00,68.50
328.00,45.02
333.00,24.07
334.00,34.51
343.00,29.24
349.00,26.68
351.00,-149.32
353.00,-7.64
356.00,29.33
360.00,-46.10
362.00,92.42
364.00,25.41
365.00,-25.04
366.00,-4.62
369.00,-11.34
370.00,-19.93
372.00,29.83
375.00,75.09
376.00,-98.96
377.00,-74.19
378.00,6.62
380.00,109.29
381.00,9.53
385.00,158.42
387.00,-24.22
388.00,-60.10
393.00,-111.13
397.00,51.60
399.00,32.22
402.00,24.04
405.00,-116.50
406.00,6.94
407.00,80.14
408.00,-124.65
409.00,-6.03
410.00,86.28
412.00,-1.00
415.00,20.68
418.00,-20.79
419.00,-7.68
429.00,-79.82
435.00,52.72
438.00,-31.39
444.00,-3.19
445.00,-12.13
446.00,-15.00
447.00,-169.06
448.00,-152.18
450.00,-33.09
451.00,-217.28
452.00,20.30
453.00,125.05
456.00,47.25
459.00,101.52
460.00,-15.83
461.00,-58.00
464.00,228.84
465.00,-29.99
466.00,-134.05
467.00,12.92
474.00,136.78
479.00,58.98
480.00,-27.17
482.00,-2.88
485.00,-50.84
486.00,34.61
487.00,44.67
492.00,-82.42
495.00,1.08
496.00,-22.74
499.00,-64.41
500.00,-262.95
501.00,-2.10
506.00,-118.08
508.00,27.56
519.00,-73.63
522.00,51.07
524.00,24.46
526.00,45.15
527.00,27.12
531.00,55.59
535.00,41.00
536.00,-59.41
541.00,-48.97
543.00,30.73
544.00,5.55
545.00,-90.13
551.00,46.91
556.00,37.46
557.00,-8.94
561.00,-182.79
568.00,45.02
570.00,-68.63
571.00,-66.92
572.00,14.47
577.00,37.26
583.00,58.37
585.00,-89.49
587.00,-0.24
589.00,101.24
590.00,35.12
592.00,18.89
593.00,56.01
594.00,-164.50
595.00,-72.90
597.00,15.42
610.00,15.31
614.00,113.49
616.00,-103.44
618.00,-8.18
619.00,0.82
628.00,13.00
633.00,-74.96
636.00,8.86
646.00,89.96
647.00,71.17
648.00,61.69
650.00,-56.57
651.00,6.99
652.00,-10.09
654.00,-72.53
655.00,7.17
657.00,-38.19
662.00,-31.92
670.00,-25.91
671.00,92.42
672.00,31.55
675.00,55.81
676.00,62.36
678.00,-7.38
680.00,81.59
681.00,-35.31
682.00,-23.29
684.00,3.76
685.00,6.51
686.00,34.46
687.00,-63.03
688.00,0.21
689.00,26.09
691.00,-159.46
692.00,9.33
693.00,-6.42
694.00,22.38
696.00,40.03
697.00,61.29
698.00,-58.82
699.00,33.58
700.00,147.88
701.00,94.55
704.00,-19.90
712.00,47.00
715.00,77.21
717.00,-13.03
720.00,5.73
724.00,167.55
725.00,-31.31
727.00,73.75
729.00,-6.92
730.00,-44.65
731.00,-29.22
733.00,62.88
734.00,15.78
738.00,-53.59
741.00,-75.85
742.00,-60.79
746.00,35.84
747.00,-51.95
748.00,59.41
749.00,41.72
751.00,-65.30
755.00,39.23
756.00,82.56
759.00,169.34
763.00,58.00
764.00,66.89
765.00,31.05
766.00,20.78
767.00,38.23
768.00,158.12
769.00,2.57
772.00,-6.19
774.00,-91.86
785.00,-3.58
801.00,167.83
805.00,-90.07
806.00,140.50
807.00,-136.06
812.00,0.51
813.00,72.67
814.00,-86.61
815.00,51.55
822.00,13.23
824.00,11.34
825.00,131.30
830.00,47.30
832.00,-26.91
837.00,-37.44
840.00,-54.23
841.00,41.63
842.00,-26.81
850.00,38.96
851.00,-37.02
853.00,16.38
854.00,-7.97
855.00,86.63
858.00,70.10
859.00,74.39
860.00,-14.13
863.00,-72.41
864.00,113.88
876.00,9.11
879.00,-16.94
883.00,127.55
886.00,-100.67
892.00,169.24
896.00,25.98
898.00,-54.20
910.00,6.74
911.00,-43.50
913.00,3.06
913.00,-62.61
917.00,30.67
919.00,32.83
921.00,56.21
922.00,-30.10
923.00,21.56
924.00,98.50
925.00,-187.05
926.00,-25.71
928.00,12.89
929.00,-47.08
934.00,-4.86
937.00,41.79
939.00,-185.39
940.00,-68.58
942.00,-0.96
946.00,-97.94
948.00,-94.45
949.00,-5.25
950.00,44.48
951.00,14.13
952.00,-6.80
953.00,116.48
960.00,29.98
962.00,18.25
963.00,22.75
964.00,100.29
967.00,248.66
971.00,99.14
973.00,143.60
976.00,56.66
977.00,2.70
981.00,41.78
982.00,74.89
985.00,38.77
986.00,119.74
988.00,101.17
990.00,23.78
994.00,-149.60
1000.00,-70.27
1001.00,-14.98
1004.00,-71.48
1006.00,-112.27
1007.00,-25.71
1008.00,29.27
1010.00,-17.19
1013.00,-15.52
1014.00,-69.45
