ID player,MisG,TotalTr,ReflSh
6767.00,3.00,31.00,90.32
6871.00,1.67,16.33,89.93
6923.00,3.52,21.00,83.27
6969.00,9.00,37.00,75.68
6994.00,4.44,24.94,82.64
7047.00,6.41,24.77,-inf
7064.00,6.00,37.00,83.78
7144.00,2.34,22.72,89.87
7157.00,3.30,28.88,88.06
7208.00,3.80,24.60,-inf
7222.00,3.74,26.74,86.37
7381.00,7.00,24.00,70.83
7472.00,4.00,32.72,87.70
7519.00,4.00,27.38,85.08
7542.00,3.35,26.44,87.55
7618.00,4.62,26.88,81.69
7620.00,3.95,25.72,84.62
7625.00,2.69,21.31,86.88
7716.00,8.00,27.00,70.37
7738.00,7.00,36.00,80.56
7745.00,4.00,23.00,82.61
7752.00,5.00,24.50,80.96
7768.00,10.00,31.00,67.74
7801.00,6.50,26.00,72.35
7809.00,5.73,23.64,-inf
7816.00,3.75,20.33,82.31
7821.00,3.42,33.46,83.83
7837.00,3.86,21.79,83.62
7850.00,4.50,27.80,83.24
7851.00,4.35,28.05,83.99
7883.00,10.00,37.33,71.86
7890.00,4.00,25.00,84.00
7923.00,3.53,28.64,87.58
7924.00,3.23,29.00,88.97
7934.00,8.86,31.57,70.96
7966.00,5.13,27.77,81.74
7970.00,3.82,25.18,84.73
7978.00,3.83,19.67,81.70
7979.00,4.64,22.86,79.49
8010.00,3.00,32.77,90.95
8012.00,5.25,33.12,83.79
8020.00,2.39,24.95,89.52
8040.00,2.80,23.44,88.18
8043.00,12.50,35.00,66.89
8048.00,5.00,23.00,78.26
8116.00,5.00,31.00,83.87
8151.00,3.00,22.00,86.36
8204.00,4.67,23.00,78.14
8290.00,3.00,17.00,82.35
8318.00,5.00,27.00,79.66
8348.00,2.00,17.50,89.00
8360.00,6.44,28.78,77.80
8367.00,6.00,30.00,80.00
8372.00,7.40,24.00,-inf
8403.00,3.03,28.93,90.15
8407.00,2.70,20.79,86.75
8431.00,3.48,23.65,84.63
8566.00,6.00,21.00,71.43
