ID team,PL_RATING
1,759.86
4,-533.62
8,-11.64
12,-569.47
15,164.93
17,917.92
22,208.71
23,460.52
24,542.42
26,-107.45
29,789.89
31,429.71
35,363.65
38,-274.39
44,412.30
46,-509.90
48,317.70
49,240.59
53,-503.51
54,-71.60
56,425.27
61,-224.52
63,514.67
64,-7.36
65,67.83
92,11.42
104,298.32
109,-308.08
110,-809.88
111,553.16
129,248.61
130,638.75
131,603.27
132,261.14
138,104.69
176,-60.75
187,1073.80
189,-390.44
191,1261.36
200,-576.07
205,729.27
207,14.47
208,-64.16
211,608.77
214,-110.77
215,308.19
216,181.84
239,452.33
245,-18.71
269,541.66
329,-177.48
331,-328.01
332,308.16
333,952.24
335,303.67
336,235.12
375,502.55
379,-195.69
393,592.65
396,-489.38
397,1289.79
398,411.08
399,-291.20
400,-254.48
401,-652.59
402,587.62
403,-501.85
404,-404.39
405,74.54
406,576.85
407,498.16
408,1269.03
409,415.23
410,-79.08
411,155.35
431,312.13
438,961.75
439,623.86
440,374.16
441,460.29
442,-294.30
443,77.00
445,-581.80
446,195.80
447,-285.80
448,-36.45
449,-107.09
450,-418.80
451,-454.50
452,432.72
453,-1136.60
489,-760.95
490,268.38
491,352.96
493,303.06
494,480.29
496,660.54
497,267.41
498,784.28
499,-137.81
500,-249.58
501,-294.15
502,-2.61
504,-752.96
505,-44.13
506,580.36
532,-191.36
544,-876.32
545,-1505.39
546,-452.09
555,557.90
556,-97.78
564,30.95
565,1262.94
566,190.58
567,773.26
568,488.06
569,592.02
570,-834.50
573,712.60
574,-282.27
577,-31.04
578,1766.52
579,775.21
580,1140.76
581,-67.27
582,-396.91
