ID player,MisG,TotalTr,ReflSh,dev_MisG,dev_ReflSh,dev_TotalTr
4372.00,2.80,20.60,86.95,32.60,3.26,-22.15
4391.00,2.00,27.00,92.59,51.86,9.96,2.04
4410.00,4.71,21.45,77.77,-13.37,-7.64,-18.94
4435.00,3.74,26.63,85.78,9.98,1.87,0.64
4482.00,3.92,23.85,83.71,5.64,-0.59,-9.87
4494.00,3.89,30.89,87.37,6.36,3.76,16.74
4505.00,4.33,25.00,82.88,-4.23,-1.57,-5.52
4524.00,2.29,25.00,91.01,44.88,8.08,-5.52
4545.00,4.50,25.90,83.93,-8.32,-0.33,-2.12
4565.00,5.71,28.33,79.21,-37.44,-5.93,7.07
4603.00,3.25,20.92,85.50,21.77,1.54,-20.94
4710.00,4.82,31.73,85.18,-16.02,1.16,19.92
4888.00,5.56,34.11,83.66,-33.83,-0.65,28.91
4933.00,2.62,26.25,89.94,36.93,6.81,-0.80
4955.00,5.00,32.00,84.38,-20.35,0.21,20.94
5019.00,6.00,29.00,80.17,-44.43,-4.79,9.60
5090.00,5.56,28.48,80.71,-33.83,-4.15,7.63
5096.00,4.60,33.60,85.73,-10.73,1.81,26.98
5121.00,3.61,22.16,83.42,13.10,-0.93,-16.25
5123.00,4.00,26.62,85.06,3.72,1.01,0.60
5212.00,4.00,22.33,82.31,3.72,-2.25,-15.61
5219.00,4.22,21.89,83.26,-1.58,-1.12,-17.27
5464.00,2.80,23.40,87.83,32.60,4.30,-11.57
5498.00,7.50,31.75,76.39,-80.53,-9.28,19.99
5509.00,3.10,23.57,86.76,25.38,3.03,-10.92
5516.00,3.57,28.60,87.32,14.07,3.70,8.09
5536.00,3.00,24.15,87.87,27.79,4.35,-8.73
5561.00,4.86,23.86,78.98,-16.98,-6.21,-9.83
5581.00,3.74,24.09,85.33,9.98,1.34,-8.96
5639.00,3.41,27.29,88.08,17.92,4.60,3.14
5685.00,5.55,25.18,77.30,-33.59,-8.20,-4.84
5691.00,3.11,24.26,87.52,25.14,3.94,-8.32
5694.00,3.19,23.05,86.40,23.21,2.61,-12.89
5695.00,2.88,21.12,85.39,30.68,1.41,-20.18
5717.00,3.11,21.84,85.88,25.14,1.99,-17.46
5718.00,4.50,26.50,82.52,-8.32,-2.00,0.15
5723.00,3.07,21.57,85.14,26.10,1.11,-18.48
5736.00,4.00,26.00,84.62,3.72,0.49,-1.74
5751.00,4.53,29.00,84.45,-9.04,0.29,9.60
5769.00,4.50,27.00,83.43,-8.32,-0.92,2.04
5771.00,4.00,23.00,80.75,3.72,-4.10,-13.08
5773.00,5.50,31.50,82.73,-32.39,-1.75,19.05
5774.00,4.09,23.52,82.34,1.55,-2.22,-11.11
5779.00,3.56,23.67,83.44,14.31,-0.91,-10.55
5873.00,3.22,24.44,86.92,22.49,3.22,-7.64
6040.00,7.62,26.25,71.07,-83.42,-15.60,-0.80
6045.00,6.56,29.44,77.56,-57.90,-7.89,11.26
6055.00,2.00,33.00,93.94,51.86,11.56,24.71
6068.00,4.12,27.47,85.41,0.83,1.43,3.82
6077.00,5.00,27.00,82.27,-20.35,-2.30,2.04
6097.00,1.89,24.44,92.77,54.51,10.17,-7.64
6140.00,8.44,33.00,73.66,-103.16,-12.52,24.71
6187.00,4.00,25.00,84.00,3.72,-0.24,-5.52
6246.00,3.00,18.67,82.76,27.79,-1.72,-29.44
6265.00,4.46,24.58,82.28,-7.36,-2.29,-7.11
6280.00,3.00,20.19,82.61,27.79,-1.90,-23.70
6325.00,3.81,22.59,83.52,8.29,-0.81,-14.63
6431.00,3.00,17.00,82.35,27.79,-2.20,-35.75
6488.00,3.85,35.88,88.76,7.33,5.41,35.60
6584.00,4.74,25.97,82.91,-14.10,-1.54,-1.85
6599.00,3.11,26.59,88.29,25.14,4.85,0.49
6600.00,4.05,30.07,86.71,2.51,2.97,13.64
6605.00,3.69,33.69,89.16,11.18,5.88,27.32
6640.00,4.00,23.00,85.54,3.72,1.58,-13.08
6871.00,1.67,16.33,89.93,59.80,6.80,-38.29
6923.00,3.67,20.56,81.84,11.66,-2.81,-22.30
6969.00,9.00,37.00,75.68,-116.64,-10.12,39.83
6994.00,4.89,30.33,82.92,-17.71,-1.53,14.62
7047.00,5.33,24.72,79.30,-28.30,-5.83,-6.58
7064.00,6.00,37.00,83.78,-44.43,-0.51,39.83
7144.00,2.67,22.63,87.64,35.73,4.08,-14.48
7157.00,3.33,28.56,87.39,19.84,3.78,7.93
7208.00,1.80,25.60,92.87,56.67,10.29,-3.25
7222.00,4.06,27.78,85.78,2.27,1.87,4.99
7381.00,7.00,24.00,70.83,-68.50,-15.88,-9.30
7472.00,4.13,33.91,87.67,0.59,4.11,28.15
7519.00,4.09,27.69,84.81,1.55,0.72,4.65
7542.00,3.00,26.21,88.61,27.79,5.23,-0.95
7618.00,4.43,25.43,81.39,-6.63,-3.34,-3.89
7620.00,4.60,26.00,82.42,-10.73,-2.12,-1.74
7625.00,2.75,21.42,86.62,33.81,2.87,-19.05
7716.00,8.00,27.00,70.37,-92.57,-16.43,2.04
7752.00,5.00,24.50,80.96,-20.35,-3.85,-7.41
7768.00,10.00,31.00,67.74,-140.71,-19.55,17.16
7801.00,6.50,26.00,72.35,-56.46,-14.08,-1.74
7809.00,5.09,25.09,80.26,-22.52,-4.69,-5.18
7816.00,3.62,20.08,82.55,12.86,-1.97,-24.11
7821.00,3.34,32.72,89.29,19.60,6.04,23.66
7837.00,3.86,21.79,83.62,7.09,-0.70,-17.65
7850.00,4.45,28.36,83.69,-7.12,-0.61,7.18
7851.00,4.16,27.84,84.47,-0.13,0.31,5.21
7883.00,10.00,37.33,71.86,-140.71,-14.66,41.08
7890.00,4.00,25.00,84.00,3.72,-0.24,-5.52
7923.00,3.13,27.96,88.57,24.66,5.18,5.67
7924.00,3.45,30.28,88.58,16.96,5.19,14.44
7934.00,9.00,32.33,71.05,-116.64,-15.62,22.18
