ID;ID game;ID team;IDp_in_ice;IDp_out_ice;timer
237917;2664;233;5250;0;00-00
238180;2651;128;2846;0;0-0
238286;2651;131;226;0;0-0
238318;2645;243;4181;0;00-00
238319;2645;245;3714;0;00-00
238398;2652;239;2861;0;0-0
238399;2652;187;777;0;0-0
238428;2644;61;775;0;00-00
238429;2644;59;217;0;00-00
238430;2653;213;2458;0;0-0
238488;2653;64;1310;0;0-0
238560;2652;239;0;2861;44-32
238562;2584;56;995;0;0-0
238563;2584;1;4372;0;0-0
238612;2639;53;4545;0;0-0
238613;2639;209;226;0;0-0
238623;2649;175;914;0;00-00
238625;2649;22;530;0;00-00
238742;2659;229;4713;0;00-00
238746;2659;183;4986;0;00-00
238758;2661;71;1616;0;00-00
238759;2661;93;1959;0;00-00
238910;2639;209;0;226;43-47
238915;2639;209;226;0;44-12
239019;2662;231;2548;0;00-00
239020;2662;230;4930;0;00-00
239024;2662;230;4909;4930;23-33
239025;2662;231;2056;2548;30-00
239052;2666;92;2056;0;0-00
239053;2666;142;2958;0;00-00
239059;2666;92;2548;2056;15-00
239072;2666;92;2056;2548;41-45
239097;2658;113;3192;0;00-00
239098;2658;229;4713;0;00-00
239180;2701;97;2122;0;0-0
239181;2701;186;2646;0;0-0
239438;2681;128;2847;0;0-0
239519;2681;24;229;0;0-0
239526;2681;24;4431;229;16-47
239649;2706;180;3759;0;00-00
239650;2706;236;3649;0;00-00
239774;2691;59;217;0;0-0
239785;2691;200;4257;0;0-0
239817;2705;73;1714;0;00-00
239818;2705;241;3611;0;0-0
239890;2691;59;0;217;44-27
239924;2674;17;416;0;0-0
239925;2674;53;4545;0;0-0
239927;2683;130;1243;0;0-0
239928;2683;245;3714;0;0-0
240043;2696;112;2344;0;00-0
240044;2696;232;4662;0;00-0
240239;2685;214;4565;0;0-0
240257;2685;64;4933;0;0-0
240321;2695;84;2363;0;0-0
240323;2674;53;0;4545;44-50
240324;2695;155;1616;0;0-0
240332;2671;1;4372;0;0-0
240333;2671;56;995;0;0-0
240435;2686;65;5090;0;0-0
240437;2686;27;1077;0;0-0
240510;2702;97;2152;0;00-00
240511;2702;225;4668;0;00-00
240548;2697;143;4808;0;00-0
240549;2697;142;2958;0;00-0
240588;2702;97;4932;2152;22-48
240615;2702;97;0;4932;41-36
240853;2687;132;3977;0;0-0
240854;2687;104;631;0;0-0
240885;2704;125;2121;0;0-0
240903;2704;236;3649;0;0-0
241030;2704;125;0;3926;43-33
241031;2704;125;3926;2121;15-00
241034;2688;38;5779;0;0-0
241035;2688;61;775;0;0-0
241157;2684;138;3428;0;0-0
241158;2684;245;3714;0;0-0
241272;2690;213;2458;0;0-0
241274;2690;216;133;0;0-0
241452;2703;98;4672;0;00-00
241464;2703;235;5011;0;00-00
241527;2689;207;2295;0;0-0
241528;2689;8;1557;0;0-0
241537;2703;98;1982;4672;24-02
241567;2675;11;4566;0;0-0
241568;2675;15;908;0;0-0
241582;2703;98;4672;1982;34-43
241588;2679;23;2559;0;0-0
241589;2679;217;71;0;0-0
241675;2678;129;1235;0;00-00
241740;2678;131;226;0;00-00
241752;2680;35;2764;0;0-0
241753;2680;108;2810;0;0-0
241806;2673;4;998;0;00-00
241807;2673;10;188;0;00-00
241922;2699;233;5250;0;00-00
241923;2699;234;2998;0;00-00
241932;2699;233;4767;5250;22-01
241935;2699;234;2062;2998;24-12
241976;2700;170;3554;0;00-00
241977;2700;237;1961;0;00-00
242035;2693;219;3900;0;00-00
242036;2693;220;4881;0;00-00
242043;2693;219;4773;3900;24-41
242124;2677;12;2438;0;00-00
242125;2677;26;2459;0;00-00
242207;2692;151;4961;0;0-0
242208;2692;221;5042;0;0-0
242313;2694;183;4986;0;0-0
242314;2694;113;3192;0;0-0
242599;2587;56;995;0;0-0
242981;2586;10;188;0;0-0
242982;2586;49;913;0;0-0
243013;2724;100;2646;0;00-00
243014;2724;233;4767;0;00-00
243356;2732;180;3759;0;00-00
243357;2732;237;1961;0;00-00
243454;2732;237;1714;1961;15-49
243460;2707;245;3714;0;0-0
243461;2707;242;4414;0;0-0
243465;2587;4;998;0;0-0
243473;2732;237;1961;1714;38-02
243478;2708;109;4339;0;00-00
243510;2585;29;673;0;00-00
243511;2585;206;891;0;00-00
243512;2708;211;1046;0;00-00
243619;2707;245;0;3714;44-23
243686;2716;146;1389;0;0-0
243687;2716;147;3462;0;0-0
243717;2585;206;0;891;43-58
243718;2710;35;2764;0;0-0
243719;2710;187;4494;0;0-0
243916;2712;129;1235;0;00-00
243917;2712;24;229;0;00-00
243934;2719;229;4710;0;00-00
243936;2719;84;4765;0;00-00
244296;2713;108;2810;0;0-0
244297;2713;23;5509;0;0-0
244300;2712;129;0;1235;44-56
244344;2711;131;226;0;00-00
244346;2711;22;1340;0;00-0
244363;2711;131;3676;226;30-00
244365;2713;23;0;5509;43-40
244396;2709;111;4428;0;0-0
244397;2709;239;344;0;0-0
244445;2709;239;0;419;44-40
244522;2731;170;3554;0;00-00
244523;2731;226;1844;0;00-00
244534;2731;170;3563;3554;24-35
244598;2734;172;3605;0;00-00
244599;2734;174;1887;0;00-00
244646;2725;234;2062;0;0-0
244647;2725;234;2998;2062;12-30
244683;2723;234;2998;0;0-0
244684;2723;233;4767;0;0-0
244691;2723;234;2062;2998;21-57
244701;2723;234;0;2062;44-43
244821;2718;156;3212;0;00-00
244822;2718;220;4894;0;00-00
244868;2711;22;530;1340;15-00
244897;2729;235;5011;0;00-0-
244898;2729;226;1844;0;00-00
244992;2737;146;1389;0;0-0
245009;2737;147;3462;0;0-0
245019;2737;147;3463;3462;32-11
245120;2772;220;4881;0;00-0
245121;2772;224;4728;0;00-0
245278;2740;56;995;0;0-0
245414;2775;151;4952;0;00-00
245415;2775;224;4728;0;00-00
245417;2754;175;914;0;0-0
245506;2775;151;4961;4952;26-49
245561;2754;210;1170;0;0-0
245740;2785;172;3605;0;00-00
245741;2785;80;1981;0;00-00
245935;2785;80;1982;1981;33-04
246025;2755;108;3824;0;0-0
246027;2755;24;4435;0;0-0
246143;2740;10;188;0;0-0
246144;2739;1;4372;0;0-0
246145;2739;206;2889;0;00-00
246174;2759;64;4933;0;00-00
246175;2759;214;4565;0;0-0
246196;2746;188;268;0;0-0
246197;2746;12;67;0;0-0
246262;2746;188;4376;268;30-00
246277;2746;188;268;4376;31-31
246325;2778;91;2025;0;0-0
246411;2746;188;4376;268;35-20
246484;2752;187;4494;0;0-0
246485;2752;23;2559;0;0-0
246548;2741;29;673;0;0-0
246549;2741;4;998;0;0-0
246553;2778;233;4767;0;30-00
246708;2782;98;4672;0;0-0
246739;2782;236;3649;0;0-0
246993;2762;8;656;0;0-0
247066;2753;131;3676;0;00-00
247067;2762;207;2295;0;15-00
247068;2753;22;530;0;00-00
247225;2756;59;217;0;00-00
247226;2756;200;4256;0;00-00
247266;2761;213;2458;0;00-00
247268;2761;216;133;0;00-00
247393;2786;237;1961;0;0-0
247394;2781;170;2090;0;00-00
247395;2781;180;3759;0;00-00
247396;2786;125;2690;0;0-0
247405;2786;125;3926;2690;15-00
247416;2786;237;1714;1961;24-44
247417;2786;125;2690;3926;30-00
247424;2786;125;0;2690;43-29
247542;2773;221;5042;0;00-00
247543;2773;224;4729;0;00-00
247753;2758;61;775;0;0-0
247754;2758;38;5779;0;00-00
247818;2777;234;2998;0;0-0
247820;2777;142;2958;0;0-0
248062;2777;234;0;2998;44-12
248083;2765;175;914;0;0-0
248085;2757;104;631;0;0-0
248086;2757;132;2796;0;0-0
248142;2765;210;1170;0;0-0
248235;2764;22;1340;0;0-0
248236;2764;131;3676;0;0-0
248248;2747;51;368;0;0-0
248250;2747;188;4376;0;00-00
248341;2763;23;2559;0;0-0
248342;2763;187;777;0;0-0
248343;2765;210;0;4482;44-30
248348;2764;22;530;1340;25-06
248355;2766;108;3824;0;0-0
248365;2766;24;229;0;0-0
248455;2764;22;0;530;44-41
248589;2760;109;2437;0;0-0
248590;2760;211;4428;0;0-0
248592;2763;23;0;2559;43-50
248625;2767;27;1077;0;0-0
248626;2767;65;5090;0;0-0
248639;2769;244;4933;0;0-0
248640;2769;245;3714;0;0-0
248645;2768;130;1235;0;0-0
248646;2768;138;217;0;0-0
248661;2760;211;1046;4428;24-56
248678;2767;27;0;1077;44-53
248718;2774;231;2056;0;0-0
248719;2774;232;4662;0;0-0
248770;2783;72;3611;0;00-00
248771;2783;72;1716;3611;15-0
248773;2783;174;1887;0;0-0
248803;2788;173;3649;0;0-0
248815;2788;174;1887;0;0-0
248852;2787;231;2056;0;0-0
248853;2787;71;1616;0;0-0
249001;2801;172;3605;0;00-00
249002;2801;174;1887;0;00-00
249033;2800;240;1715;0;0-0
249052;2800;73;1961;0;0-0
249108;2792;148;1308;0;0-0
249109;2792;146;1389;0;0-0
