ID;ID game;ID player;ID team;None;total time on ice;pucks;throws by;a shot on target;accurate transmission;interception;The face-off is won;face-off lost;blocked throws;ice exits
383;99;170;10;;;;;;;;;;;NULL
384;99;977;10;;;;;;;;;;;NULL
385;99;749;10;;;;;;;;;;;NULL
386;99;393;10;;;;;;;;;;;NULL
387;99;161;10;;;;;;;;;;;NULL
388;99;168;10;;;;;;;;;;;NULL
389;99;722;10;;;;;;;;;;;NULL
390;99;976;10;;;;;;;;;;;NULL
391;99;159;10;;;;;;;;;;;NULL
392;99;155;10;;;;;;;;;;;NULL
393;850;1434;64;;;;;;;;;;;NULL
394;850;3063;64;;2;;;;;;;;;NULL
395;850;1452;64;;2;;;;;;;;;NULL
396;850;1455;64;;;;;;;;;;;NULL
397;850;1450;64;;;;;;;;;;;NULL
398;850;1437;64;;;;;;;;;;;NULL
399;850;3066;64;;;;;;;;;;;NULL
400;850;3062;64;;;;;;;;;;;NULL
401;850;1443;64;;2;;;;;;;;;NULL
402;850;1510;64;;2;;;;;;;;;NULL
403;850;1511;64;;2;;;;;;;;;NULL
404;850;1448;64;;2;;;;;;;;;NULL
405;850;1445;64;;;;;;;;;;;NULL
406;850;3064;64;;;;;;;;;;;NULL
407;850;1439;64;;;;;;;;;;;NULL
408;850;1454;64;;;;;;;;;;;NULL
409;850;3065;64;;;;;;;;;;;NULL
410;850;1126;138;;;;;;;;;;;NULL
411;850;1288;138;;;;;;;;;;;NULL
412;850;1283;138;;;;;;;;;;;NULL
413;850;1284;138;;;;;;;;;;;NULL
414;850;3060;138;;;;;;;;;;;NULL
415;850;1559;138;;;;;;;;;;;NULL
416;850;3056;138;;;;;;;;;;;NULL
417;850;1302;138;;;;;;;;;;;NULL
418;850;3057;138;;;;;;;;;;;NULL
419;850;3059;138;;;;;;;;;;;NULL
420;850;1269;138;;;;;;;;;;;NULL
421;850;3058;138;;;;;;;;;;;NULL
422;850;3055;138;;;;;;;;;;;NULL
423;850;1558;138;;;;;;;;;;;NULL
424;850;1278;138;;;;;;;;;;;NULL
425;6353;7222;63;;;;;;;;;;;NULL
426;6353;6423;63;;;;;;;;;;;NULL
427;6353;2328;63;;;;;;;;;;;NULL
428;6353;7538;63;;;;;;;;;;;NULL
429;6353;2222;63;;;;;;;;;;;NULL
430;6353;4249;63;;;;;;;;;;;NULL
431;6353;4321;63;;;;;;;;;;;NULL
432;6353;5821;63;;;;;;;;;;;NULL
433;6353;6266;63;;;;;;;;;;;NULL
434;6353;5203;63;;;;;;;;;;;NULL
435;6353;7199;63;;;;;;;;;;;NULL
436;6353;2322;63;;;;;;;;;;;NULL
437;6353;5794;63;;;;;;;;;;;NULL
438;6353;6327;63;;;;;;;;;;;NULL
439;6353;2319;63;;;;;;;;;;;NULL
440;6353;5793;63;;;;;;;;;;;NULL
441;6353;5695;27;;;;;;;;;;;NULL
442;6353;5873;27;;;;;;;;;;;NULL
443;6353;7127;27;;1273;;;;;;;;;NULL
444;6353;4251;27;;907;;;;;;;;;NULL
445;6353;2329;27;;744;;;;;;;;;NULL
446;6353;4250;27;;1360;;;;;;;;;NULL
447;6353;6434;27;;740;;;;;;;;;NULL
448;6353;6090;27;;1015;;;;;;;;;NULL
449;6353;6085;27;;865;;2;1;;;;;1;NULL
450;6353;6091;27;;1122;;5;3;;;;1;;NULL
451;6353;4555;27;;1162;;5;1;;;17;9;1;NULL
452;6353;1531;27;;945;;4;3;;;2;;;NULL
453;6353;4558;27;;954;;1;;;;2;4;1;NULL
454;6353;7547;27;;1006;;4;3;;;1;;;NULL
455;6353;2325;27;;1043;;1;3;;;4;4;1;NULL
456;6358;3428;138;;;;;;;;;;;NULL
457;6358;5162;138;;;;;;;;;;;NULL
458;6358;1301;138;;;;;;;;;;;NULL
459;6358;3060;138;;;;;;;;;;;NULL
460;6358;1297;138;;;;;;;;;;;NULL
461;6358;1560;138;;;;;;;;;;;NULL
462;6358;7474;138;;;;;;;;;;;NULL
463;6358;1066;138;;;;;;;;;;;NULL
464;6358;6512;138;;;;;;;;;;;NULL
465;6358;6508;138;;;;;;;;;;;NULL
466;6358;6513;138;;;;;;;;;;;NULL
467;6358;288;138;;;;;;;;;;;NULL
468;6358;5276;138;;;;;;;;;;;NULL
469;6358;1026;138;;;;;;;;;;;NULL
470;6358;6213;138;;;;;;;;;;;NULL
471;6358;6514;138;;;;;;;;;;;NULL
472;6358;4256;38;;;;;;;;;;;NULL
473;6358;495;38;;1531;;;;;;;;;NULL
474;6358;4604;38;;1432;;;;;;;;;NULL
475;6358;13;38;;1118;;;;;;;;;NULL
476;6358;6479;38;;1326;;2;2;;;19;5;;NULL
477;6358;231;38;;1288;;;2;;;11;12;;NULL
478;6358;6210;38;;1163;;;;;;;;1;NULL
479;6358;4601;38;;1198;;;2;;;;;;NULL
480;6358;4596;38;;1128;;1;2;;;;;;NULL
481;6358;4605;38;;1268;;;4;;;1;1;;NULL
482;6358;25;38;;1257;;1;3;;;;;;NULL
483;700;2438;109;;;;;;;;;;;NULL
484;700;2455;109;;179;;;;;;;;;NULL
485;700;2445;109;;179;;;;;;;;;NULL
486;700;2443;109;;;;;;;;;;;NULL
487;700;2441;109;;;;;;;;;;;NULL
488;700;2439;109;;179;;;;;;;;;NULL
489;700;549;109;;179;;;;;;;;;NULL
490;700;545;109;;179;;;;;;;;;NULL
491;700;2454;109;;179;;;;;;;;;NULL
492;700;2450;109;;;;;;;;;;;NULL
493;700;2440;109;;;;;;;;;;;NULL
494;700;2451;109;;;;;;;;;;;NULL
495;700;1908;20;;;;;;;;;;;NULL
496;700;1907;20;;;;;;;;;;;NULL
497;700;1928;20;;;;;;;;;;;NULL
498;700;1918;20;;;;;;;;;;;NULL
499;700;427;20;;;;;;;;;;;NULL
500;700;127;20;;;;;;;;;;;NULL
501;700;1915;20;;;;;;;;;;;NULL
502;700;1924;20;;;;;;;;;;;NULL
503;700;1922;20;;;;;;;;;;;NULL
504;700;1909;20;;;;;;;;;;;NULL
505;700;1913;20;;;;;;;;;;;NULL
506;700;1912;20;;;;;;;;;;;NULL
507;700;1917;20;;;;;;;;;;;NULL
508;700;1910;20;;;;;;;;;;;NULL
509;700;1919;20;;;;;;;;;;;NULL
510;700;1911;20;;;;;;;;;;;NULL
