ID team,division
396,Division 1
564,Division 1
393,Division 1
494,Division 1
505,Division 1
15,Division 1
92,Division 1
4,Division 1
442,Division 1
46,Division 1
447,Division 1
56,Division 2
1,Division 2
452,Division 2
333,Division 2
49,Division 2
17,Division 2
29,Division 2
191,Division 2
35,Division 2
31,Division 2
